"","Top temperature (ºC)","Bottom temperature (ºC)","Ground temperature (ºC)","Soil moisture (?)"
"Warming","12.06 ± 0.02","12.92 ± 0.02","13.08 ± 0.02","2381.39 ± 1.44"
"Control","11.11 ± 0.02","12.01 ± 0.02","12.61 ± 0.02","2339.99 ± 1.38"
"Difference (Warming-Control)","0.95 ± 0.01","0.91 ± 0.01","0.47 ± 0.01","NA"
