feature,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,description
NULL,0.000981396,0.008875235,0.002560164,0.000768049,0.000384025,0.002176139,0.001066735,0.001152074,0.000256016,0.002773511,0.001578768,0.000469363,8.53E-05,0.001536098,0.007253798,0.007381806,0.000298686,0.002688172,0.001066735,0.00145076,0.001280082,0.003925585,0.00140809,0.00068271,0,0.003840246,0.001365421,0.002048131,0.000810719,0.007211128,0.009088582,0.002389486,0.006955112,0.00426694,0.001152074,0.00140809,0.002901519,0.001962792,0.000853388,0.002176139,0.000213347,0.004608295,0.002517494,0.00068271,0.006059054,0.004437617,0.011435399,0.009045912,0.001237413,0.0020908,0.000981396,0.000768049,0.000597372,0.001066735,0.002944188,0.001493429,0.000128008,0.006315071,0.00140809,4.27E-05,0.000213347,0.003072197,0.002346817,0.047789725,0.002560164,0.00072538,0.005333675,0.001920123,0.000853388,0.004437617,0.001920123,0.001194743,4.27E-05,0.003584229,0.007040451,0.001621437,0,0.001109404,0.004778973,0.00563236,0.000256016,0.003328213,0.000853388,0.001109404,0.003029527,0.005248336,0.001749445,0.000213347,0.000256016,0.00635774,0.00145076,0.006315071,8.53E-05,0.003712238,0.004522956,0.00145076,NULL
Animal_Pathogen-Clavicipitaceous_Endophyte-Fungal_Parasite,0.001365421,0.000640041,8.53E-05,0,0.00068271,0.000426694,0.000341355,0.000213347,0.000128008,0.003413552,0,0.000896057,0.001493429,0.000128008,8.53E-05,0.000981396,0.000469363,0.000768049,0,8.53E-05,0,0.045101553,0.000597372,0.000170678,0.000256016,0.001322751,0,0.000426694,0.001237413,0.000256016,8.53E-05,0.00072538,0.000426694,0,4.27E-05,0.000213347,0,0.000128008,0.00213347,0.042370712,0.004480287,0.000512033,0.000213347,0.000298686,0.000768049,0.036012971,0,0.000426694,0.001749445,0.000256016,0,0.00285885,0.000170678,0.000469363,0.000298686,0.000341355,0.0020908,0.000512033,0,0,0.000256016,0.000341355,0,0.000469363,0.021121352,4.27E-05,0.001280082,8.53E-05,0.000256016,0.000213347,0.000341355,8.53E-05,0.036738351,0.000170678,0.000384025,0.000384025,0.000213347,0.000341355,0,0.00213347,0.027521761,0.000213347,0.000128008,0,8.53E-05,0.000554702,0,0.000469363,0.001536098,0.004608295,8.53E-05,0.001237413,8.53E-05,0.000128008,0,0.000256016,Animal_Pathogen-Clavicipitaceous_Endophyte-Fungal_Parasite
Animal_Pathogen-Endophyte-Fungal_Parasite-Plant_Pathogen-Wood_Saprotroph,0.002730841,0.009088582,0.007381806,0.005973716,0.009344598,0.004138932,0.007381806,0.009643284,0.010325994,0.005760369,0.006784434,0.007296467,0.00640041,0.005547022,0.006485748,0.011520737,0.002176139,0.007253798,0.006656426,0.008149855,0.006187063,0.00635774,0.005973716,0.004565626,0.005205666,0.008021847,0.007424475,0.009344598,0.004352279,0.006443079,0.005931046,0.010539341,0.006101724,0.008917904,0.009685953,0.008277863,0.0098993,0.002602833,0.004394948,0.014934289,0.008320533,0.011520737,0.007723161,0.00640041,0.008832565,0.00494965,0.008747226,0.01062468,0.003882915,0.008064516,0.011136713,0.006315071,0.006656426,0.005291005,0.00853388,0.012118109,0.007723161,0.011904762,0.007211128,0.008747226,0.003413552,0.032258065,0.01062468,0.01130739,0.003754907,0.015745008,0.007552483,0.00567503,0.012246117,0.005291005,0.006187063,0.006187063,0.009813961,0.006955112,0.006912442,0.007467145,0.004053593,0.002901519,0.01416624,0.012502133,0.003626899,0.006272401,0.018049155,0.012672811,0.013142174,0.00640041,0.010411333,0.011392729,0.011819423,0.007936508,0.005333675,0.007936508,0.006485748,0.006187063,0.007467145,0.013142174,Animal_Pathogen-Endophyte-Fungal_Parasite-Plant_Pathogen-Wood_Saprotroph
Endophyte,0.002645503,0.000256016,0.000853388,0.001152074,0.005461683,0.000896057,0.001792115,0.007040451,0.001066735,0.001664107,0.000469363,0.002517494,0.001536098,0.000597372,0.000341355,0.000554702,0.002986858,4.27E-05,0.001109404,0.001920123,0.00072538,0.000597372,0.00068271,0.002346817,0.001024066,0.00068271,0.000298686,0.001664107,0.000512033,0.000426694,0.007979177,0.001877453,0.001152074,0.000853388,0.001109404,0.001152074,0.001066735,8.53E-05,0,0.006016385,0.000512033,0.001237413,0.000554702,0.001621437,0.000896057,8.53E-05,0.001024066,0.002560164,0.000298686,0.000341355,0.001322751,0.001365421,0.000512033,0.000384025,0.000554702,0.004778973,0.00068271,0.000256016,0.000170678,0.000170678,0.030892644,4.27E-05,0.00072538,0.002261478,0.003669568,0.000810719,0.000512033,0.000426694,0.001322751,0.002517494,0.000512033,0.005845707,0.001365421,0.000896057,0.001493429,0.000512033,0.000896057,0.000384025,0.002773511,0.001834784,0.002944188,0.001365421,0.002176139,0.000853388,0.000810719,0.001322751,0.0020908,0.002261478,0.001322751,0.000981396,0.001493429,0.002944188,0.001664107,0.000640041,0.00285885,0.001322751,Endophyte
Animal_Pathogen-Endophyte-Fungal_Parasite-Lichen_Parasite-Plant_Pathogen-Wood_Saprotroph,0.000341355,0.000469363,0.018902543,0.007296467,0.00281618,0.000896057,0.006101724,0.001877453,0.012118109,0.002005462,0.007637822,0.001877453,0.00068271,0.001024066,0.003157535,0.002986858,0.000512033,0.0020908,0.005803038,0.007253798,0.003200205,0.001322751,0.002432156,0.000896057,0.007339136,0.00140809,0.009259259,0.005547022,0.001365421,0.001877453,0.002389486,0.003157535,0.000554702,0.000768049,0.004480287,0.006315071,0.002176139,0.000938727,0.001152074,0.001621437,0.00499232,0.001493429,0.010710019,0.00281618,0.001280082,0.00072538,0.006912442,0.002218809,0.000597372,0.001024066,0.003584229,0.003370882,0.001920123,0.000938727,0.002688172,0.000981396,0.005931046,0.000640041,0.0078085,0.003669568,0.000853388,0.00140809,0.001493429,0.002730841,0.000981396,0.010539341,0.000426694,0.004053593,0.004394948,0.001024066,0.002645503,0.00068271,0.008277863,0.000640041,0.023809524,0.001834784,0.00072538,0.001834784,0.002986858,0.0020908,0.001066735,0.000853388,0.00563236,0.00422427,0.00499232,0.00072538,0.003584229,0.001280082,0.013782215,0.00068271,0.009301929,0.006827104,0.00068271,0.00145076,0.003370882,0.001237413,Animal_Pathogen-Endophyte-Fungal_Parasite-Lichen_Parasite-Plant_Pathogen-Wood_Saprotroph
Soil_Saprotroph,0.000640041,0.007936508,0.006485748,0.012118109,0.011008705,0.000554702,0.001152074,0.007467145,0.001024066,0.000469363,0.003712238,0.009813961,0.001792115,0.006827104,0.001962792,0.001152074,0.002005462,0.006315071,0.016683734,0.007211128,0.009472606,0.000384025,0.005888377,0.00072538,0.008960573,0.001237413,0.0020908,0.002944188,0.002474825,0.007467145,0.000597372,0.003498891,0.000341355,0.009344598,0.009003243,0.007381806,0.006272401,0,0.001365421,0.000938727,0.000810719,0.000554702,0.001194743,0.005034989,0.008917904,0.002688172,0.001109404,0.002517494,0.000213347,0.001578768,0.020182625,0.001920123,0.003498891,0.000170678,0.001365421,0.000896057,0.004821642,0.000512033,0.00849121,0.002005462,0.000384025,0.001194743,0.000981396,0.000384025,0.000213347,0.009003243,0.004437617,0.000554702,0.00072538,0.000298686,8.53E-05,0.000810719,0.000256016,0.000213347,0.001749445,0.000853388,0.001066735,0.001322751,0.000213347,0.001109404,0.000128008,0.001280082,0.007381806,0.003882915,0.003712238,0.000853388,0.000256016,0.000810719,0.000256016,8.53E-05,0.007979177,0.002944188,0.000256016,0.000938727,0.000469363,0.000597372,Soil_Saprotroph
Leaf_Saprotroph,0.003114866,0.006997781,0.005419013,0.007936508,0.006229732,0.003968254,0.0020908,0.008320533,0.009728623,0.00426694,0.00285885,0.009984639,0.008021847,0.00640041,0.009685953,0.009344598,0.008149855,0.004778973,0.005077658,0.008021847,0.005034989,0.006528418,0.003626899,0.004565626,0.00563236,0.004181601,0.003029527,0.010880696,0.011222052,0.005717699,0.009771292,0.009984639,0.008789896,0.016214371,0.013739546,0.006101724,0.010710019,0.004778973,0.003114866,0.011648746,0.005461683,0.006955112,0.003754907,0.00849121,0.01275815,0.004181601,0.009984639,0.010197986,0.008661888,0.005333675,0.004693634,0.00640041,0.003968254,0.004480287,0.003754907,0.013355521,0.009813961,0.008277863,0.003669568,0.00640041,0.015019628,0.009259259,0.00494965,0.007893839,0.006613757,0.008021847,0.008789896,0.006315071,0.012374125,0.006101724,0.004181601,0.006613757,0.006869773,0.003285544,0.003882915,0.006784434,0.007424475,0.004181601,0.010027308,0.007253798,0.007552483,0.008960573,0.008704557,0.013568868,0.010325994,0.00640041,0.004352279,0.009685953,0.011051374,0.003925585,0.006187063,0.010880696,0.015190306,0.006656426,0.004181601,0.013739546,Leaf_Saprotroph
Wood_Saprotroph,0.000213347,0.001706776,0.014635603,0.000298686,0.000298686,0.001578768,0.002560164,0.000170678,0.001237413,0.000213347,0.000768049,0.000384025,0.000213347,0.000768049,0.000469363,0.000938727,0.001237413,0.003456221,0.000810719,0.000938727,4.27E-05,0.000341355,0.000256016,0.000554702,0.005803038,0.000512033,0.001877453,0.002218809,0,0.000170678,0.000469363,0.000597372,0.000640041,0.000810719,0.001152074,0.000341355,0.000384025,0,0.014635603,8.53E-05,0.001194743,0.000469363,0.000384025,0.001365421,0.000554702,0.000256016,0.000256016,0.001493429,0.000128008,0.000213347,0.002517494,0.000597372,0,0,0.000128008,0.0020908,0.002517494,0.000298686,0.001194743,0.000640041,0.000341355,0.000810719,0,0.000768049,0.000512033,0.001578768,0.000981396,8.53E-05,0,0.000896057,0.000256016,8.53E-05,0.001536098,0.000298686,0.000597372,0.002986858,0,0.000384025,0.000938727,0.000213347,0.001194743,0.000213347,0.000554702,4.27E-05,0.000426694,8.53E-05,0.000554702,0.000298686,0.002261478,0.000213347,4.27E-05,0.000938727,0.000128008,0.001664107,0.000981396,0.000938727,Wood_Saprotroph
Dung_Saprotroph-Soil_Saprotroph,0.001920123,0.001962792,0.000810719,0.00072538,0.000298686,0.000853388,0.001237413,0.001365421,0.001365421,0.000938727,0.000298686,0.001621437,0.001066735,0.001024066,0.001280082,0.002560164,0.013824885,0.004522956,0.002986858,0.001706776,0.000170678,0.000981396,0.000938727,0.004053593,0.005034989,0.001109404,0.000597372,0.000341355,0.000896057,0.001365421,0.001536098,0.003072197,0.007125789,0.003029527,0.001365421,0.001578768,0.000981396,0.000213347,0.000170678,0.001749445,0.00285885,0.001194743,0.00072538,0.000896057,0.002773511,0.001194743,0.000384025,0.003157535,0.004394948,0.001365421,0.002389486,0.00072538,0.000640041,0.000640041,0.001621437,0.001024066,0.002261478,0.000938727,0.001706776,0.000981396,0.001792115,0.001280082,0.000469363,0.003754907,0.009557945,0.001578768,0.001536098,0.001194743,0.001194743,0.001920123,0.00145076,0.001237413,0.0020908,0.000426694,0.001664107,0.000128008,0.001578768,0.000768049,0.001493429,0.003072197,0.007851169,0.000469363,0.003925585,0.001024066,0.00213347,0.001109404,0.000810719,0.000981396,0.002602833,0.000512033,0.000853388,0.000640041,0.001536098,0.002346817,0.000554702,0.001322751,Dung_Saprotroph-Soil_Saprotroph
Dung_Saprotroph,0,0,4.27E-05,0.000554702,0.005931046,4.27E-05,0.002688172,0.005504352,0.001365421,0,0.002261478,0.000384025,0,0.001237413,0.000853388,0.005504352,0.000853388,0,0,0.002176139,0.002005462,0.001024066,4.27E-05,0.001920123,0.003584229,0.002432156,0,0.000256016,0.000810719,0.000768049,8.53E-05,0.001664107,0.001066735,4.27E-05,0.00145076,0.001493429,0.000256016,0.000896057,0,0.003200205,0.000512033,0.001706776,4.27E-05,0.007893839,0.000853388,0,0.000896057,0.005931046,0.000768049,0,0.004565626,0.000853388,0.001194743,0.000896057,0,0.001322751,0.001706776,0.000469363,0.000213347,0.001792115,0.002176139,0.000640041,0.000213347,0.003456221,0.000213347,0.002176139,0.000469363,0.013142174,0.000426694,0.002389486,0.001024066,0.00145076,0.008149855,0.001194743,0.001664107,0.001322751,0.000512033,0.000213347,0.004864311,0.001962792,0.002688172,0,0.000981396,0.000170678,0.011179382,0.002730841,0.000597372,0.0020908,0.000640041,0.002517494,0.000426694,0.000256016,0.000938727,0.000256016,4.27E-05,0.001365421,Dung_Saprotroph
