KO_Hierarchy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,description
Metabolism,0.490897496,0.486664169,0.489624561,0.488003014,0.489090354,0.491135012,0.493782598,0.492252658,0.4930279,0.490744608,0.493910626,0.495653063,0.494373669,0.492560068,0.493849471,0.485767709,0.482594146,0.486211685,0.494841158,0.491004347,0.494983657,0.494144479,0.491869897,0.494587073,0.491425918,0.488519178,0.492624175,0.493203121,0.49277671,0.491783383,0.48808346,0.493586808,0.487599004,0.485226158,0.495006288,0.49310211,0.49204214,0.489524061,0.48865107,0.487880367,0.486922418,0.489286632,0.489593939,0.497040603,0.491406232,0.491305762,0.488822841,0.491336883,0.494850858,0.491056861,0.495515599,0.490300093,0.489138023,0.493366523,0.483893744,0.494356377,0.49559037,0.497712605,0.49790454,0.491614555,0.492165103,0.48316466,0.488685199,0.484911483,0.483690269,0.488880853,0.494725423,0.492862229,0.492956501,0.492770623,0.494733706,0.491616416,0.493317198,0.494647158,0.491268632,0.492804604,0.495583699,0.493243316,0.490747595,0.489028275,0.493019826,0.488847001,0.493711776,0.491631545,0.489960917,0.491398161,0.490895493,0.490125437,0.492725162,0.49016669,0.489499135,0.494348928,0.486052763,0.487239401,0.487496667,0.485445389,Metabolism
Genetic Information Processing,0.241414137,0.246348531,0.242184924,0.24526778,0.238233116,0.245450418,0.24973716,0.243794176,0.24889871,0.244145913,0.245936273,0.252348307,0.248700603,0.245027705,0.244880525,0.242384176,0.237913415,0.243608639,0.24358676,0.243841798,0.242754481,0.245968471,0.246449591,0.254151136,0.24361322,0.243897766,0.249782247,0.246512807,0.247315232,0.246107686,0.243433315,0.252672592,0.238412442,0.240923087,0.242997035,0.246354939,0.248060036,0.247237476,0.24358201,0.240141085,0.243186375,0.241242906,0.242007078,0.24968275,0.2466765,0.246362726,0.242629702,0.240990982,0.240813494,0.241263314,0.245240873,0.244950468,0.242081068,0.247613225,0.234416554,0.244587596,0.249885757,0.257325146,0.255143283,0.244465661,0.242897275,0.238161064,0.245297756,0.239036187,0.236643109,0.245802388,0.238369587,0.249735509,0.245284161,0.245454946,0.246230204,0.247559978,0.249543217,0.253040096,0.245013894,0.250298596,0.242495335,0.24466518,0.242365757,0.239267509,0.243001606,0.242750962,0.243116775,0.242461586,0.237720157,0.240514514,0.245760538,0.243208704,0.24309441,0.245255685,0.241583462,0.246676453,0.243895586,0.234641765,0.238309334,0.237166799,Genetic Information Processing
Environmental Information Processing,0.109493525,0.10947358,0.110037396,0.109084692,0.113581001,0.105041066,0.099102928,0.104906108,0.100749832,0.105494271,0.102285897,0.096090312,0.100246666,0.104470825,0.103764613,0.112834318,0.119038351,0.111498561,0.103357724,0.106497698,0.103628243,0.101570293,0.103686727,0.095622251,0.106001406,0.107950571,0.100584005,0.102381269,0.102667823,0.10436511,0.109682869,0.0981462,0.113834327,0.11407295,0.10309796,0.102995972,0.102711447,0.105328642,0.109579929,0.11253769,0.110273867,0.109586217,0.108686775,0.0958688,0.10451762,0.10436111,0.109888921,0.108414885,0.105319372,0.108495757,0.101510846,0.107055342,0.110107532,0.101696333,0.119955398,0.101981187,0.097433168,0.090040812,0.091747307,0.10557406,0.107083715,0.118248882,0.108306283,0.115602272,0.118806997,0.107367031,0.107417293,0.101054763,0.103607147,0.103476526,0.100988392,0.102998152,0.100047231,0.096128456,0.105192519,0.099879618,0.10407494,0.103929332,0.108451818,0.111576957,0.105262937,0.109033729,0.104942864,0.107494223,0.11172312,0.108417778,0.105167146,0.10732826,0.104845049,0.106403117,0.109475055,0.101585992,0.11195278,0.116534656,0.113509256,0.116330713,Environmental Information Processing
Cellular Processes,0.06681081,0.067341838,0.066646145,0.066828202,0.066848774,0.066381288,0.06544878,0.066486328,0.064966167,0.066837505,0.065597717,0.064101435,0.064895467,0.066118222,0.065753392,0.067312241,0.068599959,0.067462139,0.065967146,0.066451552,0.066153945,0.065800301,0.066034443,0.064032721,0.066523155,0.067238657,0.065338524,0.06584192,0.065469956,0.065766179,0.067127435,0.06444174,0.068060828,0.068353188,0.066643514,0.065715868,0.065699618,0.066583667,0.066768234,0.067193177,0.067915273,0.067251252,0.067461446,0.065653067,0.065593706,0.066038393,0.067223177,0.067250248,0.066931251,0.067514243,0.065533692,0.066406439,0.067137892,0.065607169,0.069218546,0.066889323,0.065239788,0.063615587,0.063674128,0.066380113,0.06637429,0.06859039,0.066835413,0.068249234,0.06861692,0.067113518,0.067064904,0.065465004,0.066908799,0.066433849,0.066131016,0.066140904,0.065544523,0.064947444,0.066840448,0.065638995,0.065939053,0.066314111,0.067264046,0.067925682,0.067118969,0.068125364,0.066379155,0.067060071,0.068190315,0.067256274,0.06637858,0.06694386,0.066771323,0.066751126,0.067463981,0.06550874,0.067459627,0.06864451,0.068413233,0.068871279,Cellular Processes
Unclassified,0.046122903,0.044834603,0.045991903,0.045228458,0.047108011,0.045603216,0.044785152,0.046050063,0.045240227,0.046114074,0.045615815,0.044501763,0.045072761,0.045620498,0.04578126,0.046082718,0.046722636,0.045650154,0.045931649,0.045932105,0.046218231,0.045672783,0.04542283,0.044108237,0.045974849,0.046019833,0.044787832,0.045394038,0.045292387,0.045440716,0.0458391,0.044221704,0.04673614,0.046062684,0.045848496,0.045326916,0.044978772,0.045131035,0.045771421,0.046603798,0.045556326,0.046515359,0.046155875,0.044502135,0.045403334,0.045377805,0.045868335,0.046400278,0.046203106,0.045964372,0.045562967,0.045297816,0.045930267,0.04515694,0.047624184,0.045551422,0.044574348,0.043227557,0.043682942,0.045572413,0.045849833,0.046686686,0.045152279,0.046633971,0.04683788,0.044956662,0.046897358,0.044402972,0.045099971,0.045323712,0.045254436,0.045030822,0.044597931,0.043935732,0.045375512,0.044401561,0.046126702,0.045618252,0.045650003,0.046614692,0.045608233,0.045594018,0.045774601,0.045880421,0.046892749,0.046450621,0.045308042,0.046051523,0.045956558,0.0453327,0.046038228,0.045343655,0.045366763,0.047750193,0.046861044,0.047143476,Unclassified
Human Diseases,0.026318866,0.026523659,0.02665117,0.026843112,0.02581613,0.028294974,0.029798512,0.028546121,0.029628905,0.028696623,0.028933401,0.030167723,0.029022994,0.028045606,0.027728265,0.026770908,0.025728053,0.026850369,0.028267353,0.028129238,0.02824636,0.029240786,0.028715929,0.030545619,0.028449353,0.028189791,0.029402102,0.029012703,0.028567842,0.028593312,0.027271511,0.029468039,0.026323498,0.026430429,0.028456966,0.028669341,0.028824157,0.028063061,0.027017142,0.026816476,0.02794393,0.027741606,0.027855942,0.030189411,0.028462479,0.028634597,0.026810076,0.026819447,0.027648782,0.027300346,0.028993972,0.027713163,0.026941638,0.028799859,0.025381081,0.028888429,0.030152497,0.031784925,0.03135729,0.0284177,0.02705346,0.025749935,0.027207702,0.026585629,0.026203076,0.027551418,0.026942457,0.028824233,0.02806517,0.028765089,0.028996414,0.028941378,0.02954518,0.030284215,0.028292257,0.029606682,0.027429354,0.028117997,0.026906949,0.026771126,0.027642557,0.027001785,0.027851073,0.026816086,0.026744771,0.027507337,0.028530055,0.0281505,0.028708564,0.027859636,0.027543571,0.02869367,0.026304455,0.025927767,0.026469674,0.02568209,Human Diseases
Organismal Systems,0.018942263,0.018813621,0.018863901,0.018744743,0.019322615,0.018094026,0.01734487,0.017964545,0.017488259,0.017967007,0.017720271,0.017137398,0.01768784,0.018157075,0.018242474,0.01884793,0.01940344,0.018718453,0.01804821,0.018143263,0.018015083,0.017602888,0.017820584,0.016952963,0.018012099,0.018184204,0.017481115,0.017654141,0.017910051,0.017943613,0.01856231,0.017462917,0.019033762,0.018931504,0.01794974,0.017834855,0.017683832,0.018132059,0.018630194,0.018827408,0.018201811,0.018376028,0.018238945,0.017063234,0.01794013,0.017919608,0.018756947,0.018787277,0.018233136,0.018405108,0.017642052,0.018276678,0.01866358,0.017759951,0.019510492,0.017745666,0.017124072,0.016293369,0.01649051,0.017975497,0.018576324,0.019398383,0.018515369,0.018981224,0.01920175,0.018328131,0.018582978,0.017655291,0.01807825,0.017775255,0.017665831,0.01771235,0.01740472,0.017016899,0.018016739,0.017369945,0.018350917,0.018111811,0.018613831,0.018815759,0.018345871,0.018647141,0.018223756,0.018656069,0.018767971,0.018455315,0.017960145,0.018191715,0.017898934,0.018231046,0.018396568,0.017842563,0.018968025,0.019261708,0.018940792,0.019360253,Organismal Systems
