Taxonomy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,Tax_detail
Nitrososphaerales,0.057118378,0.072290447,0.070041411,0.079251749,0.045373411,0.099314579,0.136798515,0.096779951,0.133014422,0.090247037,0.115771812,0.169070398,0.133264315,0.095816079,0.095744681,0.062544624,0.03416393,0.059760103,0.097993717,0.089390261,0.092424675,0.117021277,0.109131801,0.180851064,0.099600171,0.081357989,0.138262173,0.109274597,0.12041268,0.103312866,0.069113237,0.1549336,0.045159217,0.048657718,0.095137798,0.108632015,0.115736113,0.095708982,0.080144224,0.057832358,0.085142082,0.073754105,0.080429816,0.141367985,0.1056333,0.107632443,0.063472797,0.059688705,0.080822505,0.066078823,0.113094388,0.084428102,0.066471512,0.116021705,0.023704127,0.098814794,0.153148651,0.218727688,0.211659289,0.094995002,0.073539911,0.034556619,0.076217335,0.047765243,0.039840069,0.080144224,0.065364844,0.130908182,0.093281451,0.108667714,0.116628588,0.110845352,0.138155076,0.160681137,0.097065543,0.128587748,0.08275025,0.095923176,0.068220763,0.049942882,0.081215193,0.060795373,0.092460374,0.06479366,0.051085249,0.070505498,0.105811795,0.082464658,0.076431529,0.094173925,0.073682707,0.10245609,0.05879623,0.034949307,0.04683707,0.035020705,k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;
Vicinamibacterales,0.117556761,0.089925746,0.078037984,0.073111524,0.06197344,0.090604027,0.102634585,0.079822933,0.025453377,0.07218335,0.079822933,0.064115379,0.081643581,0.101599315,0.100813937,0.022240468,0.018277881,0.04294588,0.126231615,0.061045266,0.112630301,0.083392832,0.06022419,0.034592318,0.078930458,0.061687848,0.06515065,0.078145081,0.071612166,0.057189776,0.057546766,0.071933457,0.069148936,0.062366129,0.16268028,0.076324432,0.056333,0.05915322,0.052049122,0.029772954,0.069684421,0.060295588,0.086427245,0.188704841,0.034628017,0.059188919,0.082678852,0.13979723,0.15421962,0.105954591,0.106954163,0.071433671,0.06864915,0.083357133,0.041839212,0.170569756,0.119770099,0.102063401,0.109917178,0.086070256,0.109310296,0.038090818,0.08485649,0.045623304,0.030558332,0.092924461,0.135584749,0.093995431,0.173389976,0.109881479,0.166143082,0.081893474,0.11091675,0.105847494,0.111452235,0.101992003,0.136191632,0.134727974,0.144759389,0.098100814,0.192096244,0.13133657,0.129551621,0.132157647,0.100635442,0.114665144,0.089818649,0.088105098,0.094852206,0.111023847,0.088640583,0.102348993,0.074111095,0.070398401,0.077324004,0.071897758,k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;
Flavobacteriales,0.000142796,7.14E-05,3.57E-05,0,0,0.000214194,0,0.000249893,0.000107097,0.000928174,0,0.000178495,0.000214194,0,0.000178495,0.000321291,0.000107097,7.14E-05,0.000178495,0.000214194,0.000142796,0.000285592,0.000214194,3.57E-05,3.57E-05,0.000178495,0.000249893,0.000464087,0.000499786,0.000642582,0.000285592,0.000142796,0.000178495,0.000642582,0.000107097,0.000107097,3.57E-05,0,3.57E-05,0.001427959,0.000178495,7.14E-05,0.000285592,0.000107097,7.14E-05,0.000142796,7.14E-05,0.000107097,0.000249893,0.002677424,0.000142796,0,0,3.57E-05,0.000142796,0.000107097,0.000142796,3.57E-05,7.14E-05,7.14E-05,0,0.000642582,7.14E-05,0.000392689,0.001356561,0.001356561,0.000142796,7.14E-05,7.14E-05,0.000499786,0.000214194,0.000785378,0.000321291,0.000107097,0.00035699,0.000107097,0.000285592,0.002784521,0.000142796,0.042338998,0.001320862,0.009960017,0.001106669,0.002855919,0.002570327,0.003891189,0.006961302,0.003284307,0.173925461,0.000499786,0.002891618,0.002998715,0.00774668,0.001320862,0.003676996,0.002891618,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;
Bacillales,0.051692132,0.073896901,0.04012566,0.045052121,0.045516207,0.061437955,0.101456519,0.079858632,0.065471941,0.110702556,0.068934742,0.07428959,0.055369128,0.063936884,0.062366129,0.085070684,0.143831215,0.153255748,0.059581608,0.119234614,0.068720548,0.093388548,0.113915465,0.120234185,0.071969156,0.123982579,0.084570898,0.093781237,0.0633657,0.078252178,0.115272026,0.077359703,0.066757104,0.086248751,0.051335142,0.088640583,0.090746823,0.075039269,0.055083536,0.104348137,0.057903756,0.067685278,0.056475796,0.047622448,0.081286591,0.09927888,0.060474083,0.041982008,0.047658147,0.061723547,0.049121805,0.098636299,0.077074111,0.083250036,0.071897758,0.083999714,0.051656433,0.067649579,0.045873197,0.067078395,0.057225475,0.088069399,0.056225903,0.082857347,0.101456519,0.167642439,0.045694702,0.077645295,0.057653863,0.087748108,0.042410396,0.103848351,0.073111524,0.071933457,0.069898615,0.081357989,0.049800086,0.056368699,0.05458375,0.065579038,0.050299871,0.083321434,0.044266743,0.062723119,0.066792803,0.078145081,0.060866771,0.092424675,0.047943738,0.046372983,0.063794088,0.074396687,0.046658575,0.03837641,0.059938598,0.065007854,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;
Solirubrobacterales,0.121519349,0.144295302,0.139654434,0.145401971,0.134727974,0.10424104,0.082857347,0.078787662,0.08239326,0.075539055,0.085284878,0.08346423,0.093138655,0.093888334,0.09542339,0.126588605,0.13169356,0.104455233,0.077145509,0.085856062,0.074967871,0.067685278,0.091639297,0.083571327,0.094638012,0.086927031,0.092353277,0.076181636,0.097565329,0.089747251,0.100207054,0.099243181,0.108310724,0.112523204,0.071647865,0.08521348,0.093388548,0.114058261,0.137976581,0.11445095,0.107668142,0.094316721,0.092674568,0.056654291,0.100278452,0.095744681,0.104955019,0.090639726,0.074503784,0.080465515,0.073432815,0.100028559,0.118449236,0.090461231,0.126231615,0.066007425,0.069434528,0.061509353,0.066293017,0.088819078,0.106097387,0.135299158,0.115093531,0.110666857,0.130015708,0.097779523,0.080608311,0.094816507,0.089818649,0.082821648,0.079537341,0.087248322,0.089461659,0.08346423,0.09224618,0.085070684,0.083428531,0.086677138,0.102206197,0.090818221,0.096708553,0.090389833,0.095816079,0.108989005,0.090389833,0.086891332,0.103241468,0.094209624,0.06268742,0.114486649,0.106133086,0.083499929,0.142653149,0.107311152,0.102848779,0.11691418,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;
Gaiellales,0.102491789,0.093816936,0.13308582,0.12184064,0.139725832,0.089604455,0.067792375,0.080536913,0.091924889,0.067792375,0.082000571,0.081750678,0.087391118,0.089283164,0.077395402,0.111844924,0.124910753,0.073040126,0.089247465,0.081500785,0.07885906,0.073754105,0.08132229,0.084356704,0.095994574,0.08028702,0.083749822,0.072861631,0.084249607,0.085856062,0.080751107,0.088640583,0.094995002,0.085463373,0.07993003,0.073754105,0.070969584,0.086891332,0.121447951,0.110095673,0.109131801,0.091817792,0.084677995,0.047158361,0.084106811,0.084178209,0.087498215,0.085034985,0.07182636,0.058867628,0.079501642,0.082785949,0.097708125,0.082964444,0.118270741,0.059474511,0.068149365,0.055154934,0.063115808,0.07993003,0.090961017,0.116485792,0.088497787,0.097244038,0.117378266,0.069113237,0.077645295,0.066685706,0.068220763,0.072504641,0.070255605,0.075182065,0.077788091,0.065007854,0.07993003,0.067649579,0.081429387,0.077359703,0.081893474,0.07921605,0.084392403,0.05951021,0.091782093,0.087605312,0.075110667,0.098564901,0.097101242,0.083321434,0.067685278,0.101099529,0.092210481,0.072004855,0.106311581,0.106954163,0.086141654,0.104348137,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;
Rhizobiales,0.038697701,0.033842639,0.049942882,0.04365986,0.058582036,0.054869342,0.052691704,0.060045695,0.057511067,0.056939883,0.057332572,0.049514494,0.0493003,0.051513637,0.04365986,0.067471084,0.064115379,0.052977295,0.050228474,0.056333,0.047800942,0.058689133,0.058546337,0.053905469,0.061402256,0.058546337,0.057618164,0.066078823,0.051977724,0.061080965,0.053262887,0.044088248,0.056118806,0.058296444,0.050978152,0.054191061,0.064722262,0.045801799,0.05422676,0.070541197,0.074468085,0.065114951,0.064258175,0.04473083,0.057189776,0.060688276,0.04858632,0.041053834,0.046801371,0.051870627,0.054369556,0.050871055,0.050157076,0.043231472,0.056118806,0.04473083,0.049871484,0.048443524,0.053477081,0.06022419,0.038554905,0.073611309,0.049514494,0.073182922,0.082179066,0.049907183,0.04330287,0.046015993,0.040161359,0.056368699,0.048979009,0.057796659,0.04965729,0.050192775,0.055654719,0.053834071,0.031772098,0.04294588,0.038305012,0.049550193,0.036020277,0.03734114,0.04858632,0.030451235,0.052084821,0.052513209,0.06125946,0.063651292,0.040732543,0.052870198,0.060188491,0.043124375,0.041482222,0.060474083,0.048086534,0.052084821,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;
Micrococcales,0.023668428,0.022990147,0.024560902,0.025489076,0.028344995,0.026524347,0.018991861,0.026845638,0.017706697,0.030736827,0.019170356,0.020098529,0.019491646,0.021633586,0.017635299,0.024560902,0.023632729,0.040768242,0.017742396,0.027131229,0.018099386,0.01934885,0.019277453,0.020741111,0.016707126,0.040089961,0.015957447,0.022704555,0.018063687,0.048407825,0.025810367,0.025524775,0.048122233,0.042874482,0.016635728,0.022918749,0.026095959,0.022775953,0.021919177,0.033771241,0.022704555,0.031807797,0.018527774,0.01338712,0.029701556,0.025489076,0.023489933,0.021669285,0.024025418,0.060938169,0.022418963,0.041303727,0.030415536,0.027738112,0.02077681,0.019241754,0.020741111,0.022133371,0.014493788,0.035806083,0.02077681,0.023311438,0.020526917,0.023204341,0.018741968,0.022418963,0.013601314,0.020027131,0.017349707,0.021776382,0.014386691,0.027416821,0.017206911,0.018563473,0.020526917,0.018384978,0.021776382,0.024703698,0.01688562,0.029523062,0.014029702,0.030701128,0.01867057,0.017456804,0.020205626,0.026524347,0.020098529,0.030022847,0.025881765,0.017563901,0.020312723,0.022847351,0.033699843,0.017813794,0.022133371,0.023811224,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;
Burkholderiales,0.020812509,0.022311866,0.029630159,0.02745252,0.0175996,0.041732115,0.029273169,0.033628445,0.030379837,0.030415536,0.030772526,0.024525203,0.025453377,0.025988862,0.023061545,0.033557047,0.032628873,0.024203913,0.025667571,0.029558761,0.023489933,0.028809082,0.022597458,0.023632729,0.030451235,0.030486934,0.02534628,0.018777667,0.026952735,0.025667571,0.026095959,0.022204769,0.030022847,0.038269313,0.024453806,0.021098101,0.020955305,0.019206055,0.024917892,0.024132515,0.028237898,0.03380694,0.032236184,0.021526489,0.028309296,0.030808225,0.025132086,0.022276167,0.025239183,0.031058118,0.029737255,0.025596173,0.023632729,0.028487791,0.041375125,0.026560046,0.027773811,0.028380694,0.028237898,0.033735542,0.027059832,0.045801799,0.02888048,0.041089533,0.051513637,0.023989719,0.023632729,0.027416821,0.021419392,0.034449522,0.026310153,0.02959446,0.027131229,0.027666714,0.029201771,0.030594031,0.024596601,0.031629302,0.024882193,0.044445238,0.025132086,0.042124804,0.036377267,0.03555619,0.034485221,0.041767814,0.044195345,0.042374697,0.056440097,0.037805226,0.044409539,0.040554048,0.038055119,0.041375125,0.043481365,0.047086963,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;
Propionibacteriales,0.033485649,0.018027988,0.03766243,0.03766243,0.040875339,0.031200914,0.026024561,0.024418107,0.024667999,0.031986292,0.027416821,0.027523918,0.025489076,0.025381979,0.025310581,0.04648008,0.033592746,0.036662859,0.026095959,0.027952306,0.024917892,0.022561759,0.022133371,0.02149079,0.02359703,0.03134371,0.024239612,0.026203056,0.026345852,0.035520491,0.035306297,0.02745252,0.041375125,0.039126089,0.022026274,0.030808225,0.030308439,0.024382408,0.025953163,0.028666286,0.034770813,0.031415108,0.026203056,0.021026703,0.034663716,0.028487791,0.040518349,0.032521776,0.02888048,0.046872769,0.030701128,0.039732972,0.043445666,0.034128231,0.039197487,0.025846066,0.024953591,0.024953591,0.024168214,0.041160931,0.036234471,0.044052549,0.040197058,0.054869342,0.04048265,0.029415965,0.025489076,0.044445238,0.032164787,0.032807368,0.021240897,0.026238755,0.02852349,0.026881337,0.026238755,0.031486506,0.039697273,0.031486506,0.034056833,0.037162645,0.024132515,0.036734257,0.025560474,0.026238755,0.02991575,0.026809939,0.025310581,0.03555619,0.024168214,0.028701985,0.032093389,0.030379837,0.036698558,0.027845209,0.02959446,0.024275311,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;
