Taxonomy,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,Tax_detail
Tremellales,0.06938044,0.00213347,0.000341355,0.001237413,0.005205666,0.002944188,0.00354156,0.002261478,0.001962792,0.004778973,0.006187063,0.004010923,0.003328213,0.007424475,0.002560164,0.003328213,0.037634409,0.001194743,0.002688172,0.002688172,0.000768049,0.000512033,0.010880696,0.00068271,0.017110428,0.000640041,0.007936508,0.011904762,0.000938727,0.000597372,0.004394948,0.003840246,0.013867554,0.005931046,0.006016385,0.051971326,0.000469363,0.001194743,0.003925585,0.000298686,0.01271548,0.000512033,0.003413552,0.001920123,0.001237413,0.000298686,0.002474825,0.00145076,0.009771292,0.006912442,0.009515276,0.020225294,0.09276327,0.014720942,0.018774535,0.006656426,0.013782215,0.002261478,0.018347841,0.006656426,0.004394948,0.012160778,0.003328213,0.001536098,0.001664107,0.000640041,0.001024066,0.00140809,0.006144393,0.000640041,0.001066735,0.010838027,0.002346817,0.000213347,0.000768049,0.00140809,0.000640041,0.000768049,0.006827104,0.00140809,0.003584229,0.000853388,0.004309609,0.002304147,0.00140809,0.000554702,0.003285544,0.000938727,0.006059054,0.001024066,0.003456221,0.003114866,0.002218809,0.000810719,0.006827104,0.007595153,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;
Archaeorhizomycetales,0.000640041,0.007936508,0.009600614,0.012118109,0.011990101,0.000597372,0.001493429,0.007125789,0.000810719,0.000512033,0.003882915,0.009813961,0.001792115,0.006997781,0.000810719,0.001152074,0.001920123,0.006315071,0.016811743,0.007211128,0.009643284,0.000384025,0.001194743,0.00072538,0.008960573,0.001322751,0.002176139,0.002944188,0.002474825,0.007467145,0.000512033,0.003498891,0.000170678,0.010411333,0.010240655,0.007381806,0.006272401,0,0.001834784,0.00422427,0.000810719,0.000554702,0.001237413,0.005419013,0.008917904,0.002773511,0.001109404,0.002432156,0.000213347,0.001578768,0.067801673,0.001920123,0.003498891,0,0.001152074,0.000896057,0.005077658,0.000256016,0.009856631,0.002005462,0.000384025,0.001152074,0.000981396,0.000213347,0.000213347,0.009003243,0.004437617,0.000554702,0.000597372,0.000298686,0,0.000810719,0.000256016,0.000213347,0.001749445,0.000853388,0.001066735,0.001322751,0.000170678,0.001109404,0.000128008,0.001280082,0.007467145,0.01348353,0.003712238,0.00068271,0.000170678,0.000810719,0.000256016,0,0.000170678,0.002688172,0.000213347,0.000853388,0.000469363,0.000554702,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;
Rozellomycota_ord_Incertae_sedis,0.002261478,0.000810719,0.000170678,0.001365421,0.000896057,0.001152074,0.000469363,0.001536098,0.0020908,0.00072538,0.000256016,0.002218809,0.00145076,0.00068271,0.000640041,0.000896057,0.006272401,0.000554702,0.000512033,0.002773511,0.000384025,0.000170678,0.000640041,0.00145076,0.001109404,0.000640041,0.001152074,0.000853388,0.000384025,0.00072538,0.000469363,0.002218809,0.001664107,0.001066735,0.001365421,0.000853388,0.000810719,4.27E-05,0.000213347,0.000213347,0.000597372,0.002645503,0.000768049,0.00145076,0.001322751,0.000170678,0.00072538,0.001962792,0.000341355,0.000298686,0.000341355,0.000554702,0.000810719,0.000256016,0.000128008,0.000512033,0.000170678,0.002773511,0.000810719,0.00072538,0.000512033,0.000341355,0.000384025,0.000512033,0.002304147,0.000981396,0.001621437,0.00068271,0.002773511,0.00072538,0.001066735,0.00494965,0.001365421,0.000256016,0.00145076,0.001237413,0.000597372,0.000469363,0.000938727,0.001365421,0.015275644,0.000896057,0.002986858,0.006528418,0.011008705,0.002261478,0.001493429,0.009685953,0.01625704,0.003370882,0.000853388,0.004437617,0.014379587,0.002773511,0.011094043,0.064388121,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis;o__Rozellomycota_ord_Incertae_sedis;
Corticiales,0.0630227,0,0.000213347,0,0,0,0,0,0,0,0,0,0,8.53E-05,0,0,0.01911589,0,0,0,0,0,0,0,0,0.000810719,0,0,0,0,0,0,0.004394948,0,0.00213347,0,8.53E-05,0,0,0,0,0,0,0.000213347,0,0,0,0,0.011051374,0.000853388,0.00145076,0,0.000384025,0,0,4.27E-05,0.014976959,8.53E-05,0,0,0.000170678,0,0.000298686,0,0,0,0,0.000128008,0,0,0,4.27E-05,0,0,8.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27E-05,0,0,0,0,4.27E-05,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;
Filobasidiales,0.008021847,0.010240655,0.004736303,0.008064516,0.00776583,0.002560164,0.004138932,0.004480287,0.005333675,0.003328213,0.004138932,0.003157535,0.00499232,0.00563236,0.010325994,0.002560164,0.010325994,0.011179382,0.008576549,0.012331456,0.005419013,0.002986858,0.010880696,0.002688172,0.006144393,0.004864311,0.004778973,0.007168459,0.004181601,0.006272401,0.014038232,0.00494965,0.012544803,0.008405871,0.00917392,0.061102577,0.012502133,0.002944188,0.00354156,0.005973716,0.005717699,0.007424475,0.003840246,0.003797576,0.009472606,0.004437617,0.016129032,0.006272401,0.005504352,0.011734084,0.014976959,0.01484895,0.029399215,0.017537122,0.019585253,0.009600614,0.007253798,0.007552483,0.010795358,0.004394948,0.016043693,0.011563407,0.014635603,0.006315071,0.00567503,0.005419013,0.008704557,0.004309609,0.011563407,0.00426694,0.013184844,0.00921659,0.004480287,0.002944188,0.011606076,0.000938727,0.003669568,0.004437617,0.008448541,0.005333675,0.00499232,0.008320533,0.00635774,0.010923366,0.012160778,0.004394948,0.009003243,0.005803038,0.007680492,0.004181601,0.005461683,0.003626899,0.005120328,0.006272401,0.009685953,0.005461683,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;
Cystofilobasidiales,0.000896057,0,0,0,4.27E-05,0,0,0,0,0,0,0.000298686,0.000213347,0.000128008,0,0.00072538,0.002645503,0,0,0,0,4.27E-05,0.000170678,0,0.000213347,0,0,0.000128008,0.000170678,0,0.000554702,0.000938727,0.000298686,0.000298686,0.000810719,0,0,0,0,0,0.000256016,0,0.000128008,4.27E-05,0.000170678,0,4.27E-05,0.000426694,0.000213347,0,0,0.000384025,0,0,8.53E-05,0,8.53E-05,8.53E-05,0,0.000128008,0,0.000341355,0.000128008,0.000128008,0.000170678,0,0,0,0,0,0.000128008,8.53E-05,0.000128008,4.27E-05,0,0,0,0,4.27E-05,0.000469363,0,0,0.000213347,0,8.53E-05,0,0.003029527,0.000426694,0.003328213,0.000128008,0,0.000170678,0.001152074,0,0.060334528,0.015488991,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;
Pezizales,0.004394948,0.004778973,0.009515276,0.001536098,0.002730841,0.002773511,0.016385049,0.003413552,0.007125789,0.001962792,0.001536098,0.00281618,0.00426694,0.003413552,0.002048131,0.004608295,0.023510838,0.00849121,0.009131251,0.004608295,0.004693634,0.005461683,0.004522956,0.005205666,0.022358764,0.00494965,0.004010923,0.00563236,0.009728623,0.006485748,0.003200205,0.008619218,0.015403653,0.006869773,0.003669568,0.002986858,0.005973716,0.001152074,0.001109404,0.00426694,0.004352279,0.001493429,0.001664107,0.001706776,0.044333504,0.001706776,0.002432156,0.008277863,0.016129032,0.009515276,0.010112647,0.003285544,0.005034989,0.001834784,0.017494453,0.011520737,0.030679297,0.004053593,0.003456221,0.002048131,0.026284349,0.004181601,0.002346817,0.010795358,0.020865335,0.005461683,0.00422427,0.007680492,0.020097286,0.00567503,0.003114866,0.016769073,0.009984639,0.000896057,0.00426694,0.006613757,0.00499232,0.002005462,0.003584229,0.005504352,0.014976959,0.002261478,0.00853388,0.002986858,0.010539341,0.00354156,0.006187063,0.011904762,0.005973716,0.001152074,0.001536098,0.00563236,0.00917392,0.004736303,0.014678273,0.012246117,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;
GS02,0,0,0,0,0,0,0,0,0,0,0,0.001066735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013910224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001152074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040237242,0,0,0,0,0.001536098,0,0,0,0,0,0,0,0,0,8.53E-05,0.002602833,0.00072538,0,0,0,0.001024066,0,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS02;
Acrospermales,0.004480287,0,0.000128008,0.000128008,0.000384025,0.000256016,0,0.000213347,0,8.53E-05,0.000170678,0.001152074,0.000256016,0.020054617,8.53E-05,0.039341185,4.27E-05,0,0.000170678,0.000256016,0,8.53E-05,4.27E-05,0,0.00994197,8.53E-05,0.000426694,0.000213347,8.53E-05,0,8.53E-05,0.000554702,0.000341355,0.000341355,0.000384025,0.000128008,0,0,4.27E-05,0,0.000640041,0.000298686,4.27E-05,0.000341355,0.000554702,8.53E-05,0.000256016,0,0.000213347,0,0.000426694,0.000256016,0.000128008,0,0,0,0.001493429,0.000256016,0.000298686,0.002773511,0,8.53E-05,0.000128008,4.27E-05,0,0.000256016,4.27E-05,0.000170678,0.000341355,0.000298686,0,0,8.53E-05,0,0.00072538,0,0,0,8.53E-05,0,0,0.000128008,0.000426694,0,0,4.27E-05,0.000128008,0,0.00068271,0,4.27E-05,8.53E-05,0.000213347,0,0.000170678,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Acrospermales;
Cantharellales,0,0.016342379,0.000170678,0.003498891,0.000896057,0.002986858,0,0.000341355,0.000512033,0.002346817,0,0.000597372,0.000384025,0.000597372,0.013014166,0.000938727,0.00140809,0.034348865,0.000384025,0.007381806,0.001024066,0.008064516,0,8.53E-05,0.002048131,0.007936508,8.53E-05,0.011392729,0,0.001152074,0.013995562,0.011734084,0.001493429,0.031916709,0.000341355,0.002005462,0.001024066,0.000896057,4.27E-05,0.000256016,0.000341355,0.003370882,0,0.001621437,0.000128008,0.000256016,0.009003243,0.001962792,0.000426694,0.016129032,8.53E-05,0.004864311,0.001365421,0.00921659,0,0.000128008,0,0.008320533,0.004096262,0.005461683,0.000298686,0.000810719,0.009131251,0.001152074,0,0.000170678,0.022358764,0.001280082,0.001194743,0.007339136,8.53E-05,0.000298686,0.000170678,0.004608295,0.002346817,0.000597372,0.000384025,0.001237413,0.007979177,0.00145076,8.53E-05,0.014336918,4.27E-05,0.000341355,0.000640041,0.000597372,0,0.000384025,0,0.000469363,0.000170678,0.000426694,0.000298686,0.001706776,0.002048131,0.001834784,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;
Xylariales,0.002645503,0.003157535,0.007168459,0.011392729,0.004394948,0.003797576,0.007467145,0.00354156,0.00494965,0.025985663,0.002432156,0.002730841,0.002645503,0.004565626,0.009088582,0.023084144,0.003114866,0.004522956,0.004821642,0.007680492,0.003200205,0.004309609,0.009728623,0.002389486,0.005717699,0.011990101,0.013867554,0.005162997,0.002773511,0.006827104,0.006315071,0.006656426,0.004138932,0.007296467,0.005931046,0.005760369,0.005504352,0.001493429,0.002048131,0.004864311,0.002645503,0.00281618,0.006827104,0.013398191,0.006699095,0.001962792,0.008107186,0.006784434,0.002986858,0.00426694,0.003669568,0.008789896,0.0078085,0.00354156,0.005291005,0.005547022,0.031746032,0.003968254,0.003669568,0.003200205,0.003157535,0.003413552,0.002389486,0.003797576,0.003712238,0.005077658,0.005248336,0.003157535,0.004864311,0.005589691,0.005333675,0.002048131,0.005803038,0.002218809,0.002773511,0.002944188,0.002474825,0.001834784,0.005120328,0.002560164,0.002304147,0.002261478,0.003584229,0.008917904,0.005760369,0.009515276,0.009259259,0.004181601,0.008064516,0.002474825,0.001920123,0.00635774,0.006315071,0.003200205,0.015659669,0.003797576,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;
