Taxonomy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,Tax_detail
Thermoanaerobaculales,0.000749679,0.00107097,0.00139226,0.000892475,0.000856776,0.000892475,0.000892475,0.001142368,0.000999572,0.001677852,0.001356561,0.00139226,0.001249465,0.000892475,0.000892475,0.001178067,0.001892046,0.001320862,0.001213766,0.000963873,0.000928174,0.001356561,0.001784949,0.001249465,0.000678281,0.001213766,0.001570755,0.001320862,0.00107097,0.001213766,0.001035271,0.000963873,0.001356561,0.000821077,0.000963873,0.000963873,0.000999572,0.003034414,0.002356133,0.001535056,0.001320862,0.001499357,0.001427959,0.000499786,0.001499357,0.000892475,0.000892475,0.000821077,0.000821077,0.000642582,0.00139226,0.001285164,0.001320862,0.001213766,0.001320862,0.00071398,0.00107097,0.001213766,0.001427959,0.000749679,0.000749679,0.001249465,0.000749679,0.00107097,0.000856776,0.000571184,0.001035271,0.000535485,0.000392689,0.000821077,0.00071398,0.001035271,0.00071398,0.000606883,0.00071398,0.000571184,0.000392689,0.000428388,0.000821077,0.000642582,0.000285592,0.00035699,0.000642582,0.000535485,0.001178067,0.001285164,0.000464087,0.000606883,0.000928174,0.000892475,0.00107097,0.000499786,0.000928174,0.001570755,0.000856776,0.001142368,k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;
CCD24,0.001213766,0.00071398,0.001427959,0.001320862,0.001820648,0.002070541,0.001570755,0.002356133,0.002427531,0.002356133,0.002320434,0.001856347,0.001463658,0.001713551,0.001535056,0.002284735,0.001963444,0.00174925,0.001463658,0.001820648,0.001820648,0.002498929,0.001856347,0.00246323,0.002249036,0.002249036,0.001677852,0.001820648,0.001927745,0.001463658,0.001356561,0.000821077,0.002249036,0.001963444,0.001178067,0.001713551,0.001249465,0.001713551,0.001927745,0.002320434,0.002177638,0.002141939,0.001963444,0.000821077,0.001499357,0.001642153,0.000928174,0.001213766,0.001213766,0.001285164,0.001142368,0.001178067,0.001499357,0.001963444,0.002998715,0.001427959,0.00174925,0.001356561,0.000892475,0.001213766,0.000678281,0.002070541,0.001106669,0.001499357,0.000749679,0.001677852,0.001963444,0.001178067,0.000821077,0.001820648,0.001677852,0.002606026,0.001999143,0.001820648,0.001677852,0.000928174,0.001499357,0.001642153,0.00107097,0.001213766,0.001178067,0.000821077,0.001142368,0.000963873,0.002427531,0.00107097,0.001927745,0.001427959,0.000928174,0.001285164,0.001820648,0.000749679,0.000928174,0.002677424,0.002213337,0.00246323,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__CCD24;
Planctomycetales,0.00035699,0.000571184,0.000285592,0.000606883,0.001035271,0.000285592,0.000821077,0.000606883,0.001249465,0.001213766,0.000642582,0.000678281,0.000999572,0.000785378,0.000999572,0.000428388,3.57E-05,0.001142368,0.000571184,0.000678281,0.000892475,0.001106669,0.000285592,0.000571184,0.000606883,0.00071398,0.000392689,0.001677852,0.000606883,0.000571184,0.000642582,0.000928174,0.000749679,0.000535485,0.001213766,0.000571184,0.000856776,0.000571184,0.000464087,0.000464087,0.000963873,0.000285592,0.001035271,0.001213766,0.000321291,0.00071398,0.002498929,0.002713123,0.00071398,0.000892475,0.000535485,0.000642582,0.000535485,0.00071398,0.000178495,0.001642153,0.000678281,0.000856776,0.00035699,0.000606883,0.000856776,7.14E-05,0.000321291,0.000392689,7.14E-05,0.000535485,0.000892475,0.000499786,0.001142368,0.000464087,0.000678281,0.000606883,0.000642582,0.00107097,0.000499786,0.000249893,0.000928174,0.000678281,0.000678281,0.001285164,0.000928174,0.000571184,0.000678281,0.000785378,0.001356561,0.000464087,0.00035699,0.000642582,0.000428388,0.000821077,0.000642582,0.000464087,0.000499786,0.000892475,0.001035271,0.001892046,k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;
Verrucomicrobiales,0.000428388,0.000499786,0.000392689,0.000571184,0.000178495,0.000321291,0.000535485,0.000499786,0.000999572,0.001320862,0.000749679,0.000499786,0.000535485,0.000821077,0.001035271,7.14E-05,3.57E-05,0.000214194,0.000571184,0.000571184,0.000535485,0.000785378,0.000428388,0.000571184,0.000428388,0.000249893,0.000571184,0.00035699,0.000785378,0.000321291,0.000678281,0.000642582,0.000392689,0.00035699,0.000963873,0.000428388,0.000249893,0.000464087,0.000392689,0.000214194,0.000678281,0.000464087,0.000678281,0.00071398,0.000249893,0.000464087,0.00035699,0.001427959,0.000642582,0.000392689,0.000285592,0.000178495,0.000107097,0.000606883,0.000142796,0.000821077,0.000464087,0.000464087,0.000571184,0.000285592,0,0.000107097,0.000178495,0.000214194,3.57E-05,0.000321291,0.000428388,3.57E-05,0.00035699,0.000142796,0.000928174,0.000428388,0.000821077,0.000107097,0.000678281,0.000499786,0.000178495,0.000856776,0.000535485,0.000821077,0.000856776,0.002570327,0.000606883,0.000642582,0.001463658,0.000535485,0.000499786,0.000928174,0.000535485,0.000249893,0.000642582,0.000963873,0.000321291,0.000535485,0.000785378,0.00139226,k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;
Bryobacterales,0.000785378,0.000606883,0.000785378,0.001320862,0.000535485,0.000928174,0.000963873,0.001106669,0.000892475,0.000749679,0.000642582,0.000499786,0.000785378,0.000999572,0.00035699,0.001427959,0.000928174,0.000892475,0.000571184,0.001356561,0.000606883,0.000963873,0.001178067,0.001035271,0.000749679,0.00071398,0.000749679,0.000571184,0.000606883,0.000999572,0.001035271,0.000785378,0.001035271,0.000821077,0.000678281,0.001213766,0.000999572,0.000749679,0.000285592,0.000642582,0.000999572,0.000606883,0.000821077,0.00107097,0.00139226,0.001320862,0.00071398,0.000571184,0.000999572,0.001178067,0.000892475,0.001249465,0.001213766,0.001249465,0.001142368,0.000856776,0.001356561,0.001535056,0.001035271,0.001892046,0.001106669,0.001427959,0.000642582,0.000963873,0.00210624,0.000892475,0.001784949,0.00210624,0.001035271,0.001927745,0.000642582,0.001356561,0.000928174,0.000749679,0.000892475,0.001427959,0.000535485,0.00071398,0.000464087,0.000499786,0.000464087,0.00107097,0.000928174,0.001106669,0.002356133,0.00107097,0.000856776,0.00071398,0.000464087,0.000678281,0.001249465,0.000749679,0.00071398,0.000928174,0.00174925,0.00139226,k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;
Nov-24,0.001249465,0.000535485,0.000785378,0.000464087,0.000464087,0.001178067,0.000678281,0.000963873,0.001142368,0.001142368,0.001427959,0.000999572,0.000928174,0.000464087,0.001213766,0.000321291,0.000107097,0.00035699,0.002320434,0.000821077,0.001606454,0.001606454,0.000749679,0.000642582,0.001213766,0.000856776,0.001213766,0.000928174,0.001035271,0.000535485,0.000499786,0.000642582,0.000535485,0.000535485,0.001963444,0.001035271,0.000892475,0.000856776,0.000392689,0.000107097,0.000821077,0.000856776,0.000999572,0.001999143,0.000285592,0.000499786,0.000571184,0.000963873,0.001642153,0.000678281,0.001463658,0.000749679,0.000642582,0.001106669,0.000571184,0.001249465,0.001427959,0.001106669,0.001356561,0.001178067,0.001142368,0.000178495,0.000606883,0.000464087,0.000249893,0.00035699,0.002070541,0.000749679,0.00107097,0.000892475,0.001713551,0.00071398,0.000963873,0.001106669,0.000749679,0.001285164,0.00139226,0.000963873,0.00107097,0.000785378,0.001213766,0.000428388,0.001820648,0.000821077,0.00107097,0.001356561,0.000785378,0.000785378,0.000785378,0.000928174,0.000963873,0.000821077,0.000321291,0.000856776,0.000999572,0.000642582,k__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;
Kallotenuales,0.000785378,0.000606883,0.000571184,0.000892475,0.000963873,0.000606883,0.000856776,0.001142368,0.001178067,0.000642582,0.00071398,0.000571184,0.001035271,0.001427959,0.000642582,0.001035271,0.001285164,0.001106669,0.000999572,0.001249465,0.001356561,0.000785378,0.001142368,0.000321291,0.000856776,0.000821077,0.000785378,0.000963873,0.000999572,0.000928174,0.001570755,0.001106669,0.001499357,0.001463658,0.000999572,0.001999143,0.001499357,0.00071398,0.001142368,0.000963873,0.000678281,0.000499786,0.001035271,0.000678281,0.000963873,0.001320862,0.001427959,0.001106669,0.001142368,0.002034842,0.001570755,0.001535056,0.001356561,0.001320862,0.001927745,0.000821077,0.001927745,0.00107097,0.000785378,0.000892475,0.001178067,0.001106669,0.002213337,0.000464087,0.00107097,0.002141939,0.001285164,0.000392689,0.000749679,0.001142368,0.000606883,0.000785378,0.001249465,0.000892475,0.001820648,0.00107097,0.001142368,0.001142368,0.001784949,0.001606454,0.00071398,0.000678281,0.00035699,0.001106669,0.001249465,0.000821077,0.000892475,0.00071398,0.000642582,0.000963873,0.001178067,0.001213766,0.000928174,0.001963444,0.001499357,0.001035271,k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Kallotenuales;
Longimicrobiales,0.000392689,0.00035699,0.000178495,0,0.000178495,0,0.000142796,0,0.000107097,0.000214194,0.000142796,0.000178495,0.000249893,7.14E-05,3.57E-05,0.000214194,0.00071398,0.000678281,0.000214194,0.000107097,0.000107097,0.000142796,0.000178495,7.14E-05,3.57E-05,0.000214194,0.000107097,0.000285592,0.000214194,0.000214194,0.000178495,0.000285592,0.000428388,0.000428388,0.000214194,0.000464087,0.000285592,0.000285592,0.000178495,0,0.000285592,0.000142796,7.14E-05,0.000107097,0.000535485,0.000178495,0.000428388,7.14E-05,0.000285592,0.001035271,0.000749679,0.000821077,0.001178067,0.000642582,0.00035699,0.000178495,0.000499786,0.000178495,0.000249893,0.000856776,0.000392689,0.000285592,0.001999143,0.000285592,0.000535485,0.000606883,0.001035271,0.000749679,0.000606883,0.000392689,7.14E-05,0.000535485,0.000535485,0.000321291,0.000214194,0.000785378,0.000428388,0.000321291,0.000499786,0.000214194,0,0,7.14E-05,0.000428388,0.000428388,0.000142796,3.57E-05,0.000142796,0,0.000107097,0,0.000642582,0.000142796,0.000142796,0.000285592,0.000107097,k__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;
Sphingobacteriales,0,0.000142796,3.57E-05,0.000392689,3.57E-05,0.000107097,0.000178495,0.000214194,7.14E-05,0.000249893,0.000107097,0.000107097,0.000142796,7.14E-05,0.00035699,0.000428388,0.000107097,0.000321291,0.000142796,0.00035699,0.000107097,0.000571184,0.000142796,0,0.000321291,7.14E-05,3.57E-05,3.57E-05,0.000285592,7.14E-05,0.000249893,0.000214194,0.000321291,0.000392689,0.000178495,0.000178495,0.000178495,3.57E-05,3.57E-05,0.000749679,0.000249893,3.57E-05,0.000214194,0,0.000285592,0.00035699,0.000107097,0.00035699,0.000963873,0.001963444,0.000571184,0.000178495,0.000142796,0.000214194,0.000606883,0.000392689,0.000892475,0.000285592,0.000142796,0.000321291,0.000321291,0.000321291,0.000285592,0.000571184,0.000499786,0.000571184,0.00071398,0.000571184,0.000464087,0.000321291,0.000214194,0.001427959,0.001285164,0.000428388,0.00071398,0.000499786,0.000214194,0.001213766,0.000249893,0.001606454,0.00071398,0.000428388,0.000178495,0.000999572,0.000321291,0.000464087,0.000249893,0.000428388,0.000321291,3.57E-05,0.00035699,0.000464087,0.000321291,0.000107097,0.000321291,0.000606883,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;
Elsterales,0.000678281,0.000499786,0.000321291,0.000606883,0.000499786,0.000428388,0.000678281,0.001142368,0.000606883,0.000571184,0.000749679,0.000749679,0.000535485,0.000464087,0.000214194,0.000678281,0.000963873,0.000499786,0.000785378,0.001178067,0.000606883,0.001463658,0.001035271,0.000535485,0.000928174,0.00107097,0.000571184,0.000499786,0.00071398,0.000928174,0.000963873,0.000535485,0.000571184,0.000464087,0.000464087,0.000535485,0.000178495,0.001892046,0.000963873,0.000642582,0.000963873,0.000892475,0.001213766,0.000142796,0.00071398,0.000606883,0.000928174,0.000642582,0.000999572,0.000999572,0.000571184,0.000892475,0.00071398,0.000785378,0.001142368,0.00071398,0.00071398,0.000749679,0.000749679,0.000785378,0.000464087,0.000392689,0.000571184,0.000999572,0.000535485,0.00071398,0.000571184,0.000678281,0.000285592,0.000749679,0.000392689,0.000928174,0.000749679,0.00071398,0.000571184,0.000963873,0.000499786,0.000535485,0.000214194,0.000392689,0.00035699,0.000214194,0.000464087,0.000464087,0.000499786,0.000749679,0.000785378,0,0.00035699,0.000642582,0.000785378,0.000392689,0.000464087,0.000321291,0.000892475,0.000571184,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;
