Taxonomy,A1b,A2b,A3b,A4b,A5b,A6b,A7b,A8b,A9b,A10b,A11b,A12b,A13b,A14b,A15b,A16b,B1b,B2b,B3b,B4b,B5b,B6b,B7b,B8b,B9b,B10b,B11b,B12b,B13b,B14b,B15b,B16b,C1b,C2b,C3b,C4b,C5b,C6b,C7b,C8b,C9b,C10b,C11b,C12b,C13b,C14b,C15b,C16b,D1b,D2b,D3b,D4b,D5b,D6b,D7b,D8b,D9b,D10b,D11b,D12b,D13b,D14b,D15b,D16b,E1b,E2b,E3b,E4b,E5b,E6b,E7b,E8b,E9b,E10b,E11b,E12b,E13b,E14b,E15b,E16b,F1b,F2b,F3b,F4b,F5b,F6b,F7b,F8b,F9b,F10b,F11b,F12b,F13b,F14b,F15b,F16b,Tax_detail
Flavobacterium,3.57E-05,0,3.57E-05,0,0,0.000214194,0,0.000249893,0.000107097,0.000928174,0,0.000178495,0.000214194,0,0.000142796,0.000321291,7.14E-05,7.14E-05,7.14E-05,0.000214194,7.14E-05,0.000249893,0.000142796,0,3.57E-05,7.14E-05,0.000178495,0.000464087,0.000428388,0.000606883,0.000285592,0.000142796,7.14E-05,0.000499786,3.57E-05,0.000107097,0,0,0,0.00139226,0.000178495,7.14E-05,0.000214194,0.000107097,7.14E-05,0.000142796,7.14E-05,7.14E-05,0.000249893,0.002391832,0.000142796,0,0,0,0.000142796,0.000107097,0.000142796,3.57E-05,7.14E-05,7.14E-05,0,0.000499786,7.14E-05,0.000392689,0.001285164,0.001249465,7.14E-05,3.57E-05,7.14E-05,0.000499786,0.000214194,0.000642582,0.000249893,0.000107097,0.00035699,0.000107097,0.000285592,0.002784521,0.000142796,0.041982008,0.001285164,0.00985292,0.001035271,0.002677424,0.002356133,0.003641297,0.006925603,0.003284307,0.173925461,0.000499786,0.002855919,0.002927317,0.007710981,0.001249465,0.003641297,0.002891618,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;
Bacillus,0.027952306,0.039947166,0.021633586,0.025310581,0.027024133,0.033985435,0.056832786,0.043445666,0.036591461,0.061223761,0.041125232,0.044088248,0.031950593,0.037519634,0.03662716,0.046694274,0.086498643,0.087533914,0.031557904,0.070826789,0.039768671,0.049621591,0.063901185,0.068006569,0.043945452,0.06797087,0.048157932,0.054476653,0.035591889,0.044231044,0.067542482,0.044552335,0.037483935,0.04965729,0.025417678,0.051335142,0.056368699,0.031879195,0.029880051,0.054976439,0.033200057,0.038840497,0.030379837,0.026631444,0.041232329,0.057725261,0.035734685,0.023347137,0.02431101,0.034235328,0.025132086,0.052656005,0.043409967,0.044766529,0.043160074,0.043766957,0.030415536,0.038090818,0.025203484,0.039625875,0.032307582,0.056154505,0.031522205,0.048800514,0.052941596,0.094959303,0.024810795,0.042410396,0.034342425,0.050549764,0.024453806,0.05951021,0.042660288,0.03801942,0.039661574,0.048015136,0.028809082,0.033521348,0.03237898,0.034128231,0.026988434,0.048729116,0.023061545,0.034378124,0.038554905,0.043552763,0.036091675,0.049228902,0.028095102,0.025274882,0.035163501,0.041160931,0.025596173,0.022490361,0.036234471,0.036412966,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;
Rubrobacter,0.034556619,0.032271883,0.01795659,0.021383693,0.027845209,0.010459803,0.013351421,0.013565615,0.013672712,0.010745395,0.020991004,0.017778095,0.027845209,0.029558761,0.048336427,0.013172926,0.007675282,0.023489933,0.021347994,0.021026703,0.029987148,0.015886049,0.021990575,0.01195916,0.012601742,0.010424104,0.01477938,0.020598315,0.033985435,0.019812937,0.024953591,0.024560902,0.017742396,0.024489504,0.021669285,0.026095959,0.031093817,0.016635728,0.016921319,0.013886906,0.019634442,0.0141011,0.018170784,0.017314008,0.027309724,0.019741539,0.030736827,0.030843924,0.039875768,0.036448665,0.023668428,0.023418535,0.021062402,0.018492075,0.015314865,0.01620734,0.012923033,0.01267314,0.014922176,0.018063687,0.037091247,0.00913894,0.025381979,0.01128088,0.007318292,0.025810367,0.048907611,0.040803941,0.028987577,0.018099386,0.02184778,0.018884764,0.014993574,0.016100243,0.021990575,0.01934885,0.054548051,0.030558332,0.038983293,0.021240897,0.021169499,0.028916179,0.030558332,0.043981151,0.035449093,0.011744966,0.014707982,0.011816364,0.007282593,0.014279594,0.019563044,0.02852349,0.024453806,0.017885192,0.025203484,0.017670998,k__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter;
Gaiella,0.039018992,0.036698558,0.050406968,0.050656861,0.052798801,0.035484792,0.026667143,0.030022847,0.035877481,0.028701985,0.031986292,0.032414679,0.03273597,0.033985435,0.027988005,0.04401685,0.048122233,0.028237898,0.032164787,0.031308011,0.030665429,0.030665429,0.031950593,0.031200914,0.037698129,0.03484221,0.03205769,0.030451235,0.031272312,0.033878338,0.032985863,0.037198344,0.035770384,0.036948451,0.031058118,0.028594888,0.02923747,0.03766243,0.046979866,0.043088676,0.046801371,0.038947594,0.031807797,0.020669713,0.030701128,0.032950164,0.035341996,0.035841782,0.028452092,0.023632729,0.029808653,0.031914894,0.037840925,0.03380694,0.047158361,0.025024989,0.028202199,0.025988862,0.02570327,0.032771669,0.036127374,0.04508782,0.035127802,0.039911467,0.046372983,0.029201771,0.028023704,0.028594888,0.026381551,0.031879195,0.028452092,0.030879623,0.031629302,0.029665857,0.033664144,0.031914894,0.034092532,0.031522205,0.031879195,0.033699843,0.031914894,0.025738969,0.033735542,0.036305869,0.029130373,0.039233186,0.039304584,0.03380694,0.02677424,0.04048265,0.038983293,0.028951878,0.042446095,0.0387334,0.033521348,0.04012566,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;
Solirubrobacter,0.033414251,0.040197058,0.03591318,0.039126089,0.028273597,0.026274454,0.021740683,0.017314008,0.017563901,0.017992289,0.017849493,0.019598743,0.022061973,0.025132086,0.024025418,0.036805655,0.036091675,0.031236613,0.020134228,0.020883907,0.019206055,0.015386263,0.025917464,0.020705412,0.02324004,0.021669285,0.019670141,0.014029702,0.023882622,0.023668428,0.027238326,0.024239612,0.032664572,0.033021562,0.018777667,0.023882622,0.023382836,0.047622448,0.036341568,0.025953163,0.024703698,0.021240897,0.017742396,0.012887334,0.029987148,0.023811224,0.025524775,0.023918321,0.02288305,0.025274882,0.021240897,0.029844352,0.033414251,0.024882193,0.031058118,0.017778095,0.018099386,0.015600457,0.014029702,0.025239183,0.028737684,0.036234471,0.03098672,0.032236184,0.038269313,0.028487791,0.023347137,0.028273597,0.024810795,0.022133371,0.020348422,0.022383264,0.023097244,0.027024133,0.023489933,0.023418535,0.021669285,0.02359703,0.032486077,0.029701556,0.028202199,0.027916607,0.026131658,0.031843496,0.027238326,0.021240897,0.025596173,0.023704127,0.013922605,0.026167357,0.027738112,0.02216907,0.040089961,0.024596601,0.029201771,0.031914894,k__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;
Nocardioides,0.017528202,0.011245181,0.018027988,0.020848208,0.022633157,0.016814222,0.013422819,0.011637869,0.01128088,0.017028416,0.01338712,0.013065829,0.011138084,0.011744966,0.01195916,0.024025418,0.016921319,0.021383693,0.012708839,0.013458518,0.009603027,0.010352706,0.009353134,0.01020991,0.010602599,0.017135513,0.009246037,0.011744966,0.011423676,0.01688562,0.018027988,0.012494645,0.021919177,0.022240468,0.009995716,0.01338712,0.01442239,0.010067114,0.01267314,0.012958732,0.016421534,0.01513637,0.01195916,0.010067114,0.015029273,0.014815079,0.016992717,0.015993146,0.012744538,0.024275311,0.012851635,0.019491646,0.021669285,0.019491646,0.018956162,0.012708839,0.011673568,0.012458946,0.00985292,0.018991861,0.01970584,0.019634442,0.018956162,0.025524775,0.019206055,0.013172926,0.009924318,0.022561759,0.016635728,0.018706269,0.011245181,0.014922176,0.014529487,0.014636584,0.013851207,0.016957018,0.017492503,0.016421534,0.014493788,0.016492932,0.00881765,0.019741539,0.010602599,0.013672712,0.014386691,0.012601742,0.012351849,0.017028416,0.012244752,0.014850778,0.015064972,0.016921319,0.016421534,0.009781522,0.012994431,0.01338712,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;
Pseudomonas,0.000214194,0.000285592,0.000142796,0.000107097,3.57E-05,0.000499786,0.000142796,0.00107097,0.000285592,0.000999572,0.000464087,0.000428388,0.000214194,0.000464087,0.000142796,0.00107097,0.000428388,0.000249893,0.000392689,0.000392689,0.001142368,0.000642582,0.000392689,0.001892046,0.000678281,0.007318292,0.000249893,0.000178495,0.000249893,0.000856776,0.001892046,0.001927745,0.001035271,0.001249465,0.000107097,0.000107097,7.14E-05,0.023882622,0.000107097,0.002391832,0.000321291,0.000535485,0.000285592,0,0.000249893,0.000249893,0,0.000249893,0.000178495,0.010245609,0.000678281,3.57E-05,0.000785378,0.000107097,0.000571184,0.00174925,0.000678281,0.000428388,3.57E-05,0.000285592,0,0.00071398,3.57E-05,0.000785378,0.000107097,0.000249893,7.14E-05,0,0,0.000142796,0.000178495,0.001213766,0.000142796,0.000178495,0.000321291,0.000107097,0,0.000606883,0,0.023846923,0.000392689,0.004390975,0.000464087,0.000285592,0.009067542,0.00174925,0.001463658,0.000464087,0.0070327,0.000285592,0.001178067,0.004533771,0.00139226,0.003427103,0.005747537,0.011923461,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;
Candidatus_Xiphinematobacter,0.006175925,0.004033985,0.003427103,0.002570327,0.002284735,0.00528345,0.0105669,0.00667571,0.012601742,0.006925603,0.009424532,0.006640011,0.009424532,0.009960017,0.008282165,0.001999143,0.000892475,0.003676996,0.015029273,0.003891189,0.012601742,0.005676139,0.005890333,0.003676996,0.007139797,0.003462802,0.007461088,0.007675282,0.00667571,0.006854205,0.006568613,0.005961731,0.003819792,0.00421248,0.018027988,0.004033985,0.005069256,0.001999143,0.002606026,0.002391832,0.006747108,0.003641297,0.009031843,0.022918749,0.002855919,0.004747965,0.005783236,0.011245181,0.007818078,0.004783664,0.010816793,0.004319577,0.004783664,0.002641725,0.002070541,0.014636584,0.009781522,0.00738969,0.010245609,0.006604312,0.006497215,0.003248608,0.004997858,0.003070113,0.002070541,0.004319577,0.008175068,0.003605598,0.016385835,0.005426246,0.018706269,0.005033557,0.007568185,0.006925603,0.007889476,0.011887762,0.008674854,0.012209053,0.014350992,0.006961302,0.018849065,0.01020991,0.006568613,0.008496359,0.008175068,0.006568613,0.008532058,0.004533771,0.007318292,0.006211624,0.008317864,0.009817221,0.005747537,0.005890333,0.006747108,0.0035342,k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__Candidatus_Xiphinematobacter;
Streptomyces,0.015279166,0.018884764,0.019134657,0.014458089,0.020705412,0.017028416,0.012387548,0.018206483,0.017278309,0.015778952,0.016814222,0.018135085,0.018277881,0.017778095,0.016314437,0.018206483,0.019991432,0.018813366,0.016849921,0.017206911,0.0141011,0.01374411,0.016385835,0.016671427,0.017813794,0.017135513,0.014493788,0.018277881,0.01724261,0.019134657,0.020455519,0.015707554,0.019884335,0.0105669,0.012994431,0.015172069,0.017064115,0.015957447,0.014208196,0.020598315,0.013494217,0.021954876,0.015778952,0.013851207,0.014672283,0.0175996,0.020526917,0.01902756,0.012101956,0.018956162,0.011459375,0.01513637,0.016028845,0.012387548,0.022740254,0.01160217,0.012530344,0.013886906,0.013494217,0.012744538,0.015314865,0.022133371,0.017314008,0.017528202,0.01831358,0.014315293,0.011066686,0.013280023,0.011637869,0.013565615,0.009960017,0.014922176,0.015707554,0.014208196,0.015029273,0.014172498,0.015671855,0.014707982,0.014458089,0.017028416,0.013101528,0.012244752,0.013458518,0.013922605,0.011209482,0.017314008,0.016385835,0.016992717,0.017135513,0.018206483,0.015279166,0.014565186,0.020848208,0.018527774,0.01656433,0.017028416,k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;
Candidatus_Nitrocosmicus,0.002391832,0.006283022,0.002998715,0.004783664,0.001927745,0.006068828,0.008889048,0.005926032,0.009174639,0.00846066,0.005890333,0.012137655,0.01020991,0.006211624,0.006532914,0.004462373,0.002284735,0.009281736,0.006889904,0.009424532,0.005604741,0.010531201,0.007175496,0.012351849,0.008139369,0.008175068,0.008674854,0.006961302,0.010781094,0.008639155,0.006318721,0.012744538,0.00282022,0.004890761,0.005212052,0.010745395,0.00774668,0.007425389,0.004248179,0.003676996,0.007568185,0.005033557,0.004033985,0.00985292,0.008282165,0.008924747,0.003962587,0.004890761,0.006318721,0.009388833,0.007318292,0.009353134,0.005104955,0.012066257,0.001856347,0.008639155,0.015886049,0.021740683,0.01338712,0.009031843,0.005140654,0.001856347,0.004819363,0.003641297,0.003569899,0.011352278,0.005497644,0.019634442,0.008674854,0.013958304,0.009674425,0.01160217,0.015350564,0.015100671,0.008317864,0.009638726,0.006747108,0.009174639,0.006997001,0.004462373,0.004890761,0.008424961,0.005033557,0.000821077,0.004533771,0.00456947,0.006390119,0.007461088,0.005604741,0.006782807,0.00421248,0.005747537,0.003427103,0.001178067,0.002356133,0.002784521,k__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrocosmicus;
