Taxonomy,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,Tax_detail
Talaromyces,0.010539341,0.000938727,0.185441202,0.001578768,0.126728111,0.006187063,0.001024066,0.027223076,0.013910224,0.002773511,0.001109404,0.007637822,0.051843318,0.012288786,0.003157535,0.000469363,0.017494453,0.000469363,0.002730841,0.001706776,0.018091825,0.005547022,0.002730841,0.003754907,0.010411333,0.002602833,0.001152074,0.004053593,0.047149684,0.020950674,0.000938727,0.000597372,0.005547022,0.001834784,0.008704557,0.001066735,0.015915685,0.006528418,0.002176139,0.035202253,0.00640041,0.002389486,0.000896057,0.009429937,0.030935313,0.394521249,0.00285885,0.001024066,0.003200205,0.003157535,0.001962792,0.003498891,0.011008705,0.00921659,0.002261478,0.009685953,0.004437617,0.006784434,0.000640041,0.002602833,0.014976959,0.077956989,0.000981396,0.007723161,0.003797576,0.001621437,0.001920123,8.53E-05,0.012544803,0.0078085,0.004778973,0.003456221,0.015275644,0.001578768,0.001749445,0.00285885,0.019073221,0.331370541,0.006101724,0.000170678,0.061145247,0.000640041,0.002730841,0.005845707,0.005291005,0.005547022,0,0.034135518,0.027905786,0.026327018,0,0.002688172,0.021206691,0.090075098,4.27E-05,8.53E-05,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Talaromyces;
Neoascochyta,0.193207032,0.000170678,0.000170678,0.001066735,0.000341355,4.27E-05,0,0.000170678,0.000128008,0,0,0.000554702,0.000341355,0.000426694,0,0.000128008,0.044376173,8.53E-05,0,4.27E-05,0.000128008,4.27E-05,0.000384025,8.53E-05,0,0.000298686,0,0.000341355,0,0.000128008,0,0.000298686,0.008576549,0.002474825,0.000170678,0.000170678,0,0,0.373869261,8.53E-05,0.000853388,0.000298686,0.000853388,0.000170678,0,0.000341355,0.001280082,0.001877453,0.030124595,0.012118109,0.071812596,0.001749445,0.001749445,0.045656255,0.033154122,0.000426694,0.000128008,0.001024066,0.004565626,0.000554702,0,0.00994197,0.048003072,0.000597372,0.004352279,0.00068271,0.001536098,0.001280082,0,0.001237413,0.004821642,0.000853388,0.026113671,0,0.009856631,0.000213347,0,0.100187745,0.003413552,0.000170678,0.00072538,0.000896057,0.000213347,0,0.000128008,0.001962792,0.000170678,0,0.000298686,0,0,0,0,0.014464926,0.001280082,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;
Mortierella,0.009856631,0.203789042,0.070276498,0.174645844,0.010880696,0.030593958,0.040834613,0.12037037,0.055299539,0.162229049,0.183691756,0.069721796,0.037293053,0.025174945,0.023510838,0.170208227,0.056536952,0.302099334,0.140040963,0.172469705,0.289170507,0.065796211,0.040621266,0.25213347,0.050435228,0.175712579,0.104198669,0.116444786,0.18416112,0.17921147,0.03754907,0.151604369,0.043821471,0.014336918,0.039469193,0.077743642,0.066222905,0.312467998,0.010197986,0.034860898,0.15015361,0.025089606,0.152756443,0.033623485,0.054147465,0.037037037,0.021206691,0.040706605,0.063108039,0.01484895,0.013398191,0.006443079,0.019243898,0.012160778,0.007296467,0.011947431,0.024406895,0.012331456,0.027009729,0.011094043,0.056963646,0.012203448,0.005419013,0.007125789,0.038445127,0.028503158,0.026583035,0.021036013,0.052696706,0.030721966,0.03255675,0.027692439,0.023212152,0.01702509,0.033452808,0.075183478,0.06724697,0.016641065,0.012459464,0.040535928,0.025217614,0.005419013,0.011520737,0.023468169,0.02905786,0.014208909,0.010368664,0.050435228,0.025772316,0.005162997,0.04958184,0.036695682,0.03255675,0.064217443,0.017067759,0.01489162,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;
Myriodontium,0.000170678,0.005803038,0.000597372,0.001493429,0.000469363,0.00281618,0.000469363,0.000640041,0.000256016,0.000213347,0.001024066,0.002005462,0.000384025,0.005376344,0.000384025,0.000341355,0.000597372,0.000896057,0.001237413,0.001024066,0.000426694,0.002474825,0.000469363,0.000128008,0.000256016,0.000640041,0.001152074,0.009387267,0.001706776,0.000256016,0.000938727,0.001024066,0.000512033,0.001152074,0.001962792,0.001792115,0.000213347,0.000384025,0,0.000256016,0,0.001024066,0.000640041,0.001962792,0.00140809,0,0.000981396,0.001578768,0.000170678,0.005205666,0.001536098,0.00072538,0,0.00072538,0,0.000256016,0.000128008,0.000512033,0.000469363,0.002048131,0.001322751,0.000426694,0.000426694,0.00281618,0.000896057,0.001749445,0.003157535,0.001493429,0.000213347,0.001066735,0.000597372,4.27E-05,0.000469363,0.000810719,0.002176139,0.001493429,0.000938727,8.53E-05,0.000938727,0.000426694,0.000341355,0.29458952,0.005931046,0.002432156,0,0.000810719,0.000810719,0.00140809,0.000256016,0.00072538,0.000554702,0.001280082,0.001962792,0.000810719,0.000469363,0.00285885,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Myriodontium;
Cladosporium,0.021078682,0.007339136,0.00140809,0.002901519,0.001493429,0.002346817,0.002346817,0.011990101,0.00917392,0.042882744,0.020182625,0.01062468,0.069977812,0.007552483,0.016641065,0.009856631,0.036183649,0.005120328,0.002474825,0.006571087,0.002005462,0.002304147,0.033068783,0.001365421,0.049197815,0.022316095,0.010966035,0.050563236,0.039725209,0.034860898,0.033026114,0.015915685,0.035799625,0.013398191,0.029655231,0.022401434,0.202380952,0.013526199,0.086746885,0.000853388,0.049709848,0.011520737,0.030849974,0.015958355,0.005120328,0.003797576,0.063876088,0.024449565,0.068484383,0.027223076,0.086746885,0.124466633,0.20327701,0.078725038,0.072196621,0.021036013,0.08218126,0.038146441,0.087685612,0.080389145,0.033708824,0.165599932,0.269073221,0.011478068,0.010368664,0.003242874,0.009984639,0.007936508,0.129885646,0.003285544,0.008448541,0.128520225,0.024705581,0.001365421,0.00853388,0.010069978,0.001536098,0.022316095,0.03609831,0.009728623,0.002176139,0.00072538,0.001280082,0.000981396,0.003114866,0.002176139,0.001280082,4.27E-05,0.008107186,0.0020908,0.002560164,0.00213347,0.00068271,0.001109404,0.019542584,0.004181601,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;
Fusarium,0.167477385,0.087685612,0.050605905,0.078725038,0.069935143,0.105564089,0.105009387,0.094128691,0.144819935,0.060291859,0.068399044,0.132317802,0.117255504,0.071940604,0.06801502,0.120327701,0.097883598,0.090288445,0.06660693,0.09208056,0.049795187,0.080901178,0.074628776,0.086533538,0.098566308,0.065454856,0.081199863,0.080559822,0.092421915,0.071599249,0.068612391,0.110599078,0.12113842,0.138334187,0.087728281,0.098054275,0.096176822,0.050349889,0.044290835,0.138547534,0.088453661,0.123101212,0.078725038,0.110087046,0.134920635,0.109660352,0.125405359,0.144734596,0.116231439,0.145844001,0.152329749,0.128690903,0.1260454,0.116530125,0.240356716,0.185654549,0.163978495,0.116359447,0.099761051,0.089051033,0.163765148,0.137096774,0.210402799,0.147636115,0.174133811,0.087941628,0.125960061,0.112263185,0.125704045,0.083333333,0.086234852,0.102534562,0.13948626,0.05239802,0.096603516,0.100230415,0.134067247,0.095024748,0.155657962,0.141961086,0.207757296,0.068783069,0.100443762,0.108636286,0.130739034,0.057006315,0.086106844,0.161162314,0.135902031,0.076975593,0.047064345,0.116359447,0.145972009,0.133939239,0.128520225,0.108550947,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;
Hygrocybe,0,0,0,0,0,0,0,0,0.012160778,0,0,0,0,0,0,0,0.000853388,0,0,0,0,0,0,8.53E-05,0.21812596,0,0,0.033111452,0,0,0,0,0.000640041,0,0,0,0,0,0,0,0.027564431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554702,0.027308414,0,0,0.000554702,0,0,0,0,0,0,0,0,0,0,0,0,0.002474825,0,0,0,0,0,0,0,0.00072538,0,0,0,0,0,0,0,0.012246117,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe;
Articulospora,0.04181601,0.000768049,0.000768049,0.0020908,0.000170678,0.000512033,0.000981396,0.036183649,4.27E-05,0.001322751,0.002176139,0.006272401,0.001237413,0.004053593,0,0.012800819,0.016427718,4.27E-05,0.000981396,0.000213347,0.000298686,0.003114866,0.000426694,0.000640041,0,0.000170678,0.000896057,0.001066735,0.000170678,8.53E-05,4.27E-05,0.003840246,0.00281618,0,0.000768049,0.000768049,0,4.27E-05,0,0.000938727,0.000896057,0.00072538,0.009557945,0.005162997,0,0,0,0,0.000597372,0.005376344,0.001578768,0.003157535,0.00145076,8.53E-05,0.001877453,0.001365421,0.000768049,0.000298686,0.003242874,0.001322751,0.000981396,0.000384025,0,0.000810719,0.00285885,0.000640041,0.000384025,0.000170678,0.002432156,0.000213347,0.000554702,0.080261137,0.00281618,0.000170678,0.000896057,0.002346817,0,0.000640041,0.000170678,0.000128008,0.021718723,4.27E-05,0.021505376,0.00145076,0.000213347,0.215779143,0.001834784,0,0.001109404,0.028588496,0,0.000170678,0.000128008,0,0,0.000298686,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Articulospora;
Podila,0.000554702,0.003797576,0.004096262,0.008576549,0.004437617,0.006613757,0.006656426,0.013568868,0.016129032,0.013099505,0.008107186,0.006016385,0.000896057,0.002773511,0.016086363,0.016385049,0.000512033,0.001834784,0.006187063,0.017622461,0.004565626,0.004650964,0.025260283,0.011008705,0.00213347,0.022870797,0.002944188,0.009131251,0.003413552,0.025900324,0.013142174,0.040066564,0.013696877,0.019201229,0.052056665,0.088282983,0.009003243,0.020779997,0.025729647,0.00640041,0.016513057,0.037079706,0.010539341,0.00140809,0.007168459,0.006059054,0.027095067,0.117298174,0.004650964,0.002432156,0.006229732,0.005845707,0.003072197,0.00567503,0.014336918,0.003754907,0.002048131,0.009643284,0.008021847,0.002944188,0.001834784,0.002005462,0.004608295,0.033111452,0.0020908,0.009643284,0.024150879,0.123015873,0.00494965,0.003925585,0.112945895,0.006059054,0.002602833,0.009045912,0.016641065,0.195809865,0.014080901,0.003712238,0.013952893,0.107100188,0.001280082,0.002389486,0.005504352,0.013184844,0.001792115,0.009771292,0.003498891,0.003584229,0.003584229,0.010283325,0.031276668,0.044418843,0.002560164,0.005931046,0.011734084,0.006528418,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;
Metarhizium,0.002432156,0.001749445,0.004693634,0.007424475,0.000938727,0.021078682,0.005803038,0.033410138,0.063918757,0.006229732,0.001024066,0.005973716,0.005333675,0.02124936,0.002261478,0.021590715,0.015446322,0.002048131,0.007979177,0.009088582,0.00072538,0.004480287,0.003456221,0.185398532,0.004053593,0.001664107,0.001365421,0.01275815,0.003456221,0.009856631,0.006443079,0.03469022,0.003072197,0.003968254,0.038701144,0.007339136,0.000853388,0.001834784,0.002218809,0.044418843,0.006016385,0.005248336,0.000938727,0.016641065,0.004138932,0.003498891,0.001749445,0.036738351,0.005376344,0.004608295,0.003925585,0.00426694,0.000810719,0.00213347,0.002218809,0.043266769,0.007552483,0.006699095,0.001706776,0.010197986,0.001024066,0.014635603,0.001792115,0.018006486,0.0552142,0.005504352,0.003584229,0.011008705,0.001834784,0.00281618,0.005248336,0.030551289,0.00563236,0.003456221,0.00354156,0.005333675,0.0020908,0.002901519,0.010325994,0.050819252,0.003413552,0.011222052,0.001792115,0.006315071,0.000853388,0.004480287,0.072580645,0.03259942,0.007211128,0.025686977,0.00635774,0.016001024,0.000512033,0.025729647,0.026412357,0.026796382,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;
