#OTU_num,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,Taxonomy
ASV10,0.000554702,0.003797576,0.004096262,0.008576549,0.004437617,0.006613757,0.006656426,0.013398191,0.016129032,0.013099505,0.008107186,0.006016385,0.000896057,0.002773511,0.014934289,0.016385049,0.000512033,0.001834784,0.006187063,0.017622461,0.004565626,0.004650964,0.022358764,0.011008705,0.00213347,0.01911589,0.002944188,0.009131251,0.003413552,0.025900324,0.010112647,0.039895887,0.013696877,0.019201229,0.051629971,0.088282983,0.009003243,0.020779997,0.025729647,0.00640041,0.016513057,0.037079706,0.010539341,0.00140809,0.001493429,0.006059054,0.025345622,0.117298174,0.004650964,0.002432156,0.006229732,0.005845707,0.003072197,0.00567503,0.014336918,0.003754907,0.002048131,0.009643284,0.008021847,0.002944188,0.001834784,0.002005462,0.004608295,0.033111452,0.0020908,0.009643284,0.024150879,0.122845195,0.00494965,0.003925585,0.106332139,0.006059054,0.002602833,0.006784434,0.016641065,0.195809865,0.014080901,0.003712238,0.013952893,0.107100188,0.001280082,0.002389486,0.005504352,0.013184844,0.001792115,0.00921659,0.003498891,0.003584229,0.003584229,0.010283325,0.031276668,0.044418843,0.002560164,0.005931046,0.010880696,0.006528418,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__Podila_minutissima
ASV11,0.008576549,0.01062468,0.014592934,0.011990101,0.010710019,0.015019628,0.004906981,0.025046936,0.024961598,0.006144393,0.005589691,0.023126813,0.025814985,0.011904762,0.012459464,0.024918928,0.018305172,0.010496672,0.020054617,0.015318314,0.007936508,0.016171702,0.003584229,0.01062468,0.01130739,0.007893839,0.007424475,0.029868578,0.026455026,0.011648746,0.010667349,0.025900324,0.016683734,0.015531661,0.017238437,0.016171702,0.014720942,0.009131251,0.004181601,0.026156341,0.016897081,0.011222052,0.007424475,0.029697901,0.006656426,0.012544803,0.016683734,0.022870797,0.011008705,0.01344086,0.020609319,0.015275644,0.0177078,0.013654207,0.008192524,0.03827445,0.014294248,0.016043693,0.006485748,0.028759174,0.028545827,0.023425499,0.011008705,0.033794163,0.020737327,0.020993344,0.016470387,0.014422256,0.017750469,0.015403653,0.009429937,0.021804062,0.016086363,0.007509814,0.011051374,0.021292029,0.018774535,0.010496672,0.011478068,0.025302953,0.019755931,0.011904762,0.022956136,0.024534904,0.037165045,0.014806281,0.008107186,0.034562212,0.029484554,0.00921659,0.004437617,0.044888206,0.039170507,0.014763612,0.009600614,0.036226318,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae
ASV12,0.095494112,0.010411333,0.006016385,0.011862093,0.011051374,0.012630142,0.024748251,0.00563236,0.011862093,0.010368664,0.007040451,0.026284349,0.022529442,0.005504352,0.010069978,0.01416624,0.015318314,0.010283325,0.009429937,0.013654207,0.004437617,0.011435399,0.011648746,0.017921147,0.009771292,0.009728623,0.008107186,0.011904762,0.014550265,0.0098993,0.008704557,0.016897081,0.020139956,0.017153098,0.015062297,0.011648746,0.011691415,0.013355521,0.006869773,0.011264721,0.007979177,0.029612562,0.019627923,0.015873016,0.004352279,0.009813961,0.021420038,0.029868578,0.025601639,0.015745008,0.00567503,0.031916709,0.013782215,0.036610343,0.059865165,0.025430961,0.089691074,0.023596177,0.017494453,0.018689196,0.022060079,0.025900324,0.046296296,0.023681516,0.023425499,0.015104967,0.014038232,0.019499915,0.015873016,0.015616999,0.018689196,0.006869773,0.026369688,0.011094043,0.01348353,0.011392729,0.035372931,0.017366445,0.025004267,0.020481311,0.025686977,0.004352279,0.012843489,0.011008705,0.014208909,0.014251579,0.008576549,0.007168459,0.014038232,0.016385049,0.006101724,0.009301929,0.019670592,0.026796382,0.017067759,0.010155317,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_equiseti
ASV13,0.001237413,0.012886158,0.003925585,0.009856631,0.003285544,0.00213347,0.013270183,0.001621437,0.004096262,0.010966035,0.017238437,0.004608295,0.002389486,0.001792115,0.005120328,0.001280082,0.006741765,0.006997781,0.008448541,0.008235194,0.010155317,0.010667349,0.011222052,0.009429937,0.003242874,0.010795358,0.009685953,0.008192524,0.0177078,0.068228367,0.009643284,0.005973716,0.016470387,0.010283325,0.005589691,0.003584229,0.005547022,0.034220857,0.010411333,0.001749445,0.024918928,0.011862093,0.02334016,0.000981396,0.005376344,0.009728623,0.010454002,0.018774535,0.105180065,0.001578768,0.006699095,0.001194743,0.012288786,0.003413552,0.010752688,0.001792115,0.012843489,0.022998805,0.011691415,0.001877453,0.020694658,0.00494965,0.003328213,0.001706776,0.025900324,0.007040451,0.020737327,0.064302782,0.008832565,0.013398191,0.023212152,0.002560164,0.051629971,0.019713262,0.016342379,0.04390681,0.192823007,0.052867384,0.019627923,0.025174945,0.015446322,0.014592934,0.021889401,0.0098993,0.013227513,0.004138932,0.0177078,0.028588496,0.013568868,0.00567503,0.016214371,0.006144393,0.011734084,0.062254651,0.012331456,0.017835808,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae
ASV14,0.002432156,0.001749445,0.004693634,0.007424475,0.000938727,0.021078682,0.005803038,0.033410138,0.063918757,0.006229732,0.001024066,0.005973716,0.005333675,0.02124936,0.002261478,0.021590715,0.015446322,0.002048131,0.007979177,0.009088582,0.00072538,0.004480287,0.003456221,0.185398532,0.004053593,0.001664107,0.001365421,0.01275815,0.003456221,0.009856631,0.006443079,0.03469022,0.003072197,0.003968254,0.038701144,0.007339136,0.000853388,0.001834784,0.002218809,0.044418843,0.006016385,0.005248336,0.000938727,0.016641065,0.00068271,0.003498891,0.001749445,0.036738351,0.005376344,0.004608295,0.003925585,0.00426694,0.000810719,0.00213347,0.002218809,0.043266769,0.007552483,0.006699095,0.001706776,0.010197986,0.001024066,0.014635603,0.001792115,0.018006486,0.0552142,0.005504352,0.003584229,0.011008705,0.001834784,0.00281618,0.005248336,0.030551289,0.00563236,0.003456221,0.00354156,0.005333675,0.0020908,0.002901519,0.010325994,0.050819252,0.003413552,0.011222052,0.001792115,0.006315071,0.000853388,0.004480287,0.072580645,0.03259942,0.007211128,0.025686977,0.00635774,0.016001024,0.000512033,0.025729647,0.026412357,0.026796382,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium
ASV15,0,0,0.018817204,0.022913466,0,0.005589691,0.010496672,0.021590715,0.003840246,0.081029186,0,0.011691415,0.003498891,0.00708312,0,0.005547022,0.00213347,0,0.018134494,0.025174945,0.064516129,0.018049155,0,0,0,0,0,0.005888377,0,0.03895716,0.048003072,0.018603857,0.023254822,0,0.025644308,0.025388292,0,0,0,0.007424475,0.008661888,0,0,0.003754907,0,0.012843489,0,0.017323775,0.005845707,0,0.01275815,0.00776583,0.009685953,0,0.028375149,0.005888377,0.009344598,0.018561188,0,0.004522956,0.022017409,0.012971497,0.015403653,0.006613757,0.005162997,0.018518519,0,0.041218638,0.017665131,0,0,0.005077658,0.005461683,0,0,0,0.044845537,0.033068783,0,0.021633385,0.003200205,0.012160778,0.016086363,0.016897081,0.007979177,0,0,0.00640041,0,0.007595153,0,0.014763612,0.014507595,0.036610343,0.013142174,0.00635774,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Linnemannia
ASV16,0.002517494,0.010112647,0.008875235,0.008277863,0.009984639,0.012886158,0.009856631,0.018603857,0.013867554,0.010325994,0.015958355,0.010454002,0.016385049,0.010197986,0.015787677,0.011862093,0.006144393,0.013568868,0.012587472,0.007723161,0.008747226,0.015190306,0.012160778,0.008832565,0.007424475,0.011264721,0.02124936,0.009557945,0.017921147,0.013910224,0.018646527,0.010752688,0.006443079,0.021292029,0.0197986,0.012971497,0.014464926,0.007723161,0.006229732,0.015275644,0.009344598,0.015104967,0.013142174,0.006315071,0.00426694,0.007723161,0.017494453,0.016171702,0.003029527,0.012331456,0.010197986,0.005205666,0.009045912,0.010283325,0.00776583,0.021334699,0.007424475,0.013270183,0.013270183,0.006272401,0.018177163,0.011435399,0.00853388,0.012502133,0.012118109,0.015403653,0.012843489,0.006059054,0.013782215,0.0098993,0.011691415,0.008917904,0.011947431,0.007168459,0.017067759,0.00635774,0.012160778,0.005205666,0.00921659,0.012971497,0.005034989,0.010112647,0.012544803,0.007893839,0.01348353,0.013142174,0.012544803,0.01489162,0.014720942,0.014080901,0.010667349,0.010368664,0.021420038,0.007680492,0.005973716,0.011862093,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_rosea
ASV17,0.004693634,0.00494965,0.003925585,0.014806281,0.000341355,0.00776583,0.018091825,0.002176139,0.002218809,0.003712238,0.009003243,0.001237413,0.038359788,0.001322751,0.010240655,0.001621437,0.006699095,0.003413552,0.003200205,0.020481311,0.000170678,0.010112647,0.004821642,0.000170678,0.00145076,0.003882915,0.002730841,0.002346817,0.026497696,0.001066735,0.01698242,0.002218809,0.026583035,0.011222052,0.017067759,0.02334016,0.000896057,0.003840246,0.002304147,0.004864311,0.000554702,0.018561188,0.003242874,0.00921659,0.010325994,0.000896057,0.014464926,0.010923366,0.016470387,0.002560164,0.013184844,0.034263526,0.000896057,0.018987882,0.02056665,0.009003243,0.001152074,0.018475849,0.004821642,0.002218809,0.047363031,0.0020908,0.029100529,0.005077658,0.019030551,0.009685953,0.017622461,0.03255675,0.001962792,0.017537122,0.015275644,0.002560164,0.008789896,0.008789896,0.005547022,0.001493429,0.050477897,0.046936337,0.030764636,0.011862093,0.021889401,0.001152074,0.003968254,0.018347841,0.001792115,0.006912442,0.013696877,0.001877453,0.00285885,0.019201229,0.006101724,0.00426694,0.050221881,0.012374125,0.017835808,0.010027308,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_eriocamporesii
ASV18,0.001322751,0.014251579,0.010710019,0.002432156,0.009856631,0.013654207,0.002346817,0.011179382,0.018646527,0.010325994,0.001706776,0.007040451,0.01984127,0.038615805,0.055342209,0.017793139,0.001280082,0.022273425,0.00635774,0.00281618,0.011606076,0.006443079,0.00140809,0.003840246,0.015873016,0.006741765,0.002005462,0.004096262,0.013227513,0.030807305,0.008021847,0.017110428,0.003157535,0.01698242,0.00921659,0.002560164,0.00776583,0.006315071,0.000426694,0.012630142,0.00994197,0.03396484,0.002944188,0.006485748,0.001962792,0.044205496,0.007040451,0.008277863,0.002218809,0.015488991,0.036482335,0.016939751,0.00563236,0.005291005,0.00068271,0.009387267,0.013910224,0.012203448,0.002944188,0.006272401,0.005888377,0.036183649,0.003328213,0.022273425,0.002602833,0.015446322,0.056067588,0.004693634,0.010539341,0.004778973,0.005461683,0.003413552,0.014976959,0.013142174,0.004010923,0.003242874,0.003925585,0.010838027,0.006827104,0.021846732,0.001322751,0.013056836,0.011179382,0.008960573,0.00640041,0.00494965,0.00140809,0.006869773,0.012118109,0.009771292,0.001706776,0.008789896,0.015147636,0.017878478,0.000768049,0.002901519,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_bilaiae
ASV19,0.004608295,0.003370882,0.000426694,0.001109404,0.000640041,0.000896057,0.001066735,0.007637822,0.003242874,0.004522956,0.001322751,0.005547022,0.00281618,0.000853388,0.001664107,0.002176139,0.008875235,0.001706776,0.000298686,0.001024066,0.001066735,0.001109404,0.01348353,0.000810719,0.012800819,0.001920123,0.001152074,0.014763612,0.008320533,0.002432156,0.008619218,0.011136713,0.009429937,0.004778973,0.004352279,0.006784434,0.063918757,0.007595153,0.025260283,0.000597372,0.009387267,0.001962792,0.002048131,0.007637822,0,0.00068271,0.00708312,0.014208909,0.021761393,0.004650964,0.009685953,0.07433009,0.111623144,0.046125619,0.031105991,0.013782215,0.025814985,0.003584229,0.008789896,0.053208739,0.007040451,0.053507424,0.053208739,0.004480287,0.005803038,0.001194743,0.003072197,0.001706776,0.10974569,0.001920123,0.005077658,0.115036696,0.006272401,0.000384025,0.000554702,0.006827104,0.000896057,0.008405871,0.009813961,0.004010923,0.000853388,0.000170678,0.000597372,0.000298686,0.002773511,0.000853388,0.000597372,0,0.001024066,0.000213347,0.000170678,0.000213347,0.000469363,0.000384025,0.002304147,0.002730841,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sp
