Taxonomy,A2f,A7f,A11f,A14f,B2f,B7f,B11f,B14f,C2f,C7f,C11f,C14f,D2f,D7f,D11f,D14f,E2f,E7f,E11f,E14f,F2f,F7f,F11f,F14f,A3f,A6f,A10f,A15f,B3f,B6f,B10f,B15f,C3f,C6f,C10f,C15f,D3f,D6f,D10f,D15f,E3f,E6f,E10f,E15f,F3f,F6f,F10f,F15f,A1f,A8f,A9f,A16f,B1f,B8f,B9f,B16f,C1f,C8f,C9f,C16f,D1f,D8f,D9f,D16f,E1f,E8f,E9f,E16f,F1f,F8f,F9f,F16f,A4f,A5f,A12f,A13f,B4f,B5f,B12f,B13f,C4f,C5f,C12f,C13f,D4f,D5f,D12f,D13f,E4f,E5f,E12f,E13f,F4f,F5f,F12f,F13f,Tax_detail
Cystofilobasidiales,0.000981396,0,0,0,0.002560164,0,0,0,0.000341355,0.000341355,0.00068271,0,0.000213347,0,0,0.000298686,0.000213347,0,0,0,0,8.53E-05,8.53E-05,0,8.53E-05,0,0,0,0,4.27E-05,0.000298686,0,0,0,0,0,0,0,8.53E-05,0,0,0,4.27E-05,4.27E-05,0.000128008,0,0.002986858,0.000426694,0,0,0,0.000341355,0.000298686,0,0,0.000213347,0.000256016,8.53E-05,0.000170678,4.27E-05,8.53E-05,4.27E-05,0,0.000128008,0.000128008,8.53E-05,0,0,0.003370882,8.53E-05,0,0.000170678,0.000213347,0.000128008,0,0.000640041,0.000170678,0,0.000554702,0.000981396,0.000170678,0,4.27E-05,0.000426694,0,0.000256016,0.000128008,0.000128008,0,0,4.27E-05,0.000384025,0.001066735,0,0.060334528,0.015659669,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;
Pezizales,0.004437617,0.004693634,0.009600614,0.001664107,0.023596177,0.00849121,0.009003243,0.004394948,0.015702338,0.006741765,0.003584229,0.002730841,0.016470387,0.009515276,0.00994197,0.003072197,0.020822666,0.005504352,0.004309609,0.007595153,0.015190306,0.00213347,0.008704557,0.00285885,0.002560164,0.002474825,0.016385049,0.003456221,0.004437617,0.005205666,0.004608295,0.005120328,0.006016385,0.001066735,0.000938727,0.00422427,0.004864311,0.001792115,0.017451784,0.011520737,0.020267964,0.006016385,0.003413552,0.016726404,0.010667349,0.003584229,0.006528418,0.011904762,0.007211128,0.001792115,0.001749445,0.002901519,0.022102748,0.004864311,0.003797576,0.00567503,0.004565626,0.001706776,0.00140809,0.001749445,0.030849974,0.003882915,0.003285544,0.002261478,0.010112647,0.000938727,0.004394948,0.006699095,0.005845707,0.001194743,0.00145076,0.005291005,0.00422427,0.003370882,0.002176139,0.004608295,0.009600614,0.006528418,0.003114866,0.00853388,0.044290835,0.001706776,0.002176139,0.008363202,0.026369688,0.003968254,0.002261478,0.010880696,0.00494965,0.002048131,0.003712238,0.005504352,0.00921659,0.004906981,0.014550265,0.012331456,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;
GS02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001109404,0,0,0,0,0,0.013995562,0,0,0,0.001152074,0,0,0,0.040279911,0,0,4.27E-05,0.002560164,0.00072538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001536098,0,0,0,0.000981396,0,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS02;
Acrospermales,0.004480287,0,0.000128008,0.000128008,4.27E-05,0,0.000170678,0.000298686,0.000341355,0.000341355,0.000384025,0.000170678,0.000213347,0,0.000384025,0.000256016,0,0.000384025,4.27E-05,0.000128008,0,4.27E-05,0.000469363,0,0.000298686,0.000341355,0,0.000256016,0,8.53E-05,4.27E-05,0,0,0,8.53E-05,0,0.000128008,0,0,0,0.000298686,0.000298686,0,0,0,4.27E-05,0.000128008,0,0,4.27E-05,0.000170678,0.001152074,0.010027308,8.53E-05,0.000341355,0.000213347,0.000640041,0.000256016,8.53E-05,0.000384025,0.001493429,0.000298686,0.000128008,0.002773511,8.53E-05,0,0.000640041,0,0.00072538,0,4.27E-05,8.53E-05,0.000298686,0.020097286,0.000128008,0.039213176,8.53E-05,0,0.000128008,0.000554702,0.000554702,8.53E-05,0.000298686,0,0,8.53E-05,0.000128008,8.53E-05,0,0,4.27E-05,0,0.000128008,0,0.000213347,0,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Acrospermales;
Cantharellales,0,0.016214371,0.000170678,0.003498891,0.001493429,0.034263526,0.000341355,0.007296467,0.00140809,0.031916709,0.000384025,0.00213347,0.000384025,0.016214371,8.53E-05,0.004906981,0,4.27E-05,0.022444103,0.001237413,4.27E-05,0.014336918,8.53E-05,0.000384025,0.000981396,0.002944188,0,0.000384025,0.001024066,0.008192524,0,0.000128008,0.000981396,0.000896057,8.53E-05,0.000256016,0.001322751,0.00921659,0,8.53E-05,0.001237413,0.007168459,4.27E-05,0.000213347,0.000768049,0.000512033,0,0.000384025,0.000512033,0.002304147,0,0.000554702,0.00213347,0.007936508,8.53E-05,0.01135006,0.000341355,0.003456221,0,0.001621437,0,0.008320533,0.004138932,0.005291005,0.000128008,0.004693634,0.002304147,0.000640041,0,0.000426694,0.000128008,0.000469363,0.000384025,0.000640041,0.012971497,0.000938727,0,0.001237413,0.013739546,0.011691415,0.000128008,0.000256016,0.009003243,0.002048131,0.000298686,0.000810719,0.009045912,0.001194743,0.000469363,0.001152074,0.008021847,0.001365421,0.000384025,0.001706776,0.001877453,0.001621437,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;
Xylariales,0.002602833,0.003157535,0.007211128,0.01130739,0.003072197,0.004480287,0.004778973,0.007680492,0.004053593,0.00708312,0.005931046,0.005717699,0.003072197,0.004096262,0.003626899,0.008832565,0.003797576,0.005077658,0.005333675,0.003285544,0.002218809,0.002218809,0.003626899,0.008875235,0.004394948,0.003669568,0.007296467,0.003413552,0.003072197,0.004437617,0.009728623,0.002474825,0.005419013,0.00145076,0.001962792,0.004821642,0.007680492,0.003456221,0.005248336,0.005589691,0.004821642,0.005589691,0.005333675,0.002048131,0.005760369,0.009600614,0.00917392,0.004096262,0.00499232,0.025814985,0.002517494,0.002517494,0.005760369,0.012075439,0.013867554,0.005034989,0.002602833,0.00281618,0.006827104,0.013312852,0.031532685,0.003882915,0.003584229,0.003200205,0.005888377,0.0020908,0.002901519,0.002986858,0.007979177,0.002730841,0.001962792,0.006229732,0.002688172,0.004522956,0.00917392,0.023169483,0.00285885,0.006869773,0.006229732,0.006656426,0.006827104,0.001962792,0.008064516,0.006699095,0.003370882,0.003456221,0.002560164,0.003882915,0.002432156,0.001834784,0.005120328,0.002474825,0.006229732,0.003285544,0.015616999,0.003626899,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;
Rhizophlyctidales,0,0.000298686,0.000213347,0.00068271,0.000512033,0.000256016,0.000341355,0.001152074,0.003797576,0.002517494,0.001493429,0.000256016,0.011008705,0.00068271,0.001109404,0.003114866,0.000597372,0.000128008,0.004181601,0.000597372,0.001792115,0.000256016,0.000640041,0,0.000128008,0.000298686,0.012203448,0.002645503,0.000469363,0.001194743,0.003413552,0.003925585,0,0,0.000298686,0.000938727,0.000384025,0.005034989,0.000469363,0.003370882,0,0.000640041,0.007339136,0.000554702,0.000469363,0.000512033,0.000213347,0.000597372,0.000554702,0.001152074,0.000170678,0.001365421,0.000213347,0.000170678,8.53E-05,0.002389486,0.00068271,0.004010923,0.000298686,0.000810719,0.000554702,0.00068271,0.002773511,0.03114866,0.005162997,0.001621437,0.001578768,0.002517494,0.001749445,0.001322751,0,0.002048131,0.00072538,0.000469363,0.000469363,0.002432156,0.00563236,0.002389486,0.000469363,0.003285544,0.003157535,0.000384025,0.001834784,0.00499232,0.004522956,0.000341355,0.00145076,0.000554702,0.000938727,0.000384025,0.0020908,0.00354156,0.000810719,0.000896057,0.002048131,0.00140809,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes;o__Rhizophlyctidales;
Chaetothyriales,0.002176139,0.002645503,0.001834784,0.004053593,0.007424475,0.002560164,0.002346817,0.007680492,0.004864311,0.005461683,0.002346817,0.004693634,0.001664107,0.007424475,0.002560164,0.007509814,0.003200205,0.003456221,0.005205666,0.0020908,0.005931046,0.007253798,0.00635774,0.006272401,0.015915685,0.002730841,0.002218809,0.006485748,0.014080901,0.00285885,0.004437617,0.003840246,0.011008705,0.001877453,0.002005462,0.004352279,0.00640041,0.003370882,0.002432156,0.004096262,0.008875235,0.00422427,0.004437617,0.00354156,0.01271548,0.004480287,0.007979177,0.003626899,0.008021847,0.002645503,0.001237413,0.003498891,0.003925585,0.001792115,0.001920123,0.003242874,0.002901519,0.007552483,0.001834784,0.003114866,0.00281618,0.002645503,0.001962792,0.003456221,0.006656426,0.002218809,0.004053593,0.004437617,0.013824885,0.003328213,0.00145076,0.004821642,0.004821642,0.007723161,0.003797576,0.00281618,0.002346817,0.00426694,0.010027308,0.003114866,0.003200205,0.008320533,0.004608295,0.003242874,0.029996586,0.00494965,0.003626899,0.003712238,0.001493429,0.002048131,0.007125789,0.001962792,0.001493429,0.007467145,0.004906981,0.002645503,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;
Spizellomycetales,0.000170678,0.00072538,0.000597372,0.000341355,0.000810719,8.53E-05,0.000469363,0.000298686,0.001322751,0.000597372,0.00145076,0.000768049,0.001109404,0.000426694,0.006869773,0.000128008,0.000341355,0.001792115,0.012075439,0.000298686,0.000256016,0.000128008,0.00072538,0.000469363,0.000768049,0.000554702,8.53E-05,0.000469363,0.001536098,0.001109404,0.001066735,0.000426694,0.003157535,8.53E-05,0,0.003285544,0.004778973,0.004650964,0.019201229,0.003498891,0.003029527,0.001920123,0.001834784,0.000640041,0.00635774,0.029953917,0.006656426,0.002688172,0.000768049,0,0,4.27E-05,0.000341355,0.000213347,0.000469363,0.00145076,0.00068271,0.001152074,8.53E-05,0.000213347,0.001536098,0.000170678,0.000554702,0.000512033,0.002005462,0.000298686,4.27E-05,0,0.002901519,0.00285885,8.53E-05,8.53E-05,0.000384025,0.00072538,0.000981396,0.001024066,0.000938727,0.005333675,8.53E-05,0.002986858,0.002389486,0.000384025,0.002986858,0.002389486,0.001621437,0.002346817,0.012288786,0.002389486,0.001024066,0.002005462,0.00849121,0.001152074,0.002389486,0.000384025,0.000554702,0.000896057,k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;
Atractiellales,0.000298686,0.000256016,0.000298686,0.000298686,0.001834784,0.000213347,0,0.000384025,0.000981396,0.000597372,0.000256016,0.000213347,0.000256016,0,0.000128008,0.000426694,0.001109404,0,0.000512033,0.000170678,0.00072538,0.000256016,0,0,0.001152074,0.000128008,0,0.000128008,0.001792115,0.00072538,8.53E-05,0.000128008,0.002517494,0,0,0.00068271,0.003456221,0.000170678,0.000384025,0.000298686,0.002261478,0.000810719,4.27E-05,0.000256016,0.001706776,0.000170678,4.27E-05,0.000256016,0.000298686,8.53E-05,0,0.000298686,0.00068271,0,0.023681516,0.000853388,0.000256016,4.27E-05,0,0.00145076,0.001066735,0.000554702,0,0.006101724,0.002346817,0,0,0.000213347,0.000938727,0,0,0.001322751,0.000170678,0.000426694,0,0,0.000597372,4.27E-05,0.000170678,0,0.00145076,0.000256016,0.000128008,0.000128008,0.00068271,0.000426694,0.000128008,0.000213347,0.000469363,0.000213347,4.27E-05,0,0.000640041,0.000554702,0.000298686,0,k__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales;
