Taxonomy,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,Tax_detail
Mortierellaceae,0.017494453,0.234937703,0.113031234,0.326804916,0.027735108,0.058542413,0.100742448,0.178742106,0.09135518,0.290237242,0.264080901,0.157492746,0.046509643,0.046338966,0.09280594,0.209208056,0.080815839,0.343531319,0.188470729,0.256272401,0.397849462,0.112263185,0.15228708,0.328853047,0.070319167,0.317759003,0.194401775,0.194444444,0.286012971,0.373527906,0.161546339,0.24786653,0.207202594,0.054787506,0.142046424,0.231182796,0.101595835,0.546893668,0.092549923,0.057219662,0.290493258,0.099803721,0.240356716,0.044888206,0.121223758,0.08213859,0.145289299,0.280679297,0.197047278,0.028673835,0.045912272,0.032642089,0.053336747,0.036951698,0.067545656,0.027692439,0.059865165,0.074671446,0.096048814,0.0276071,0.124978665,0.039938556,0.036866359,0.057646356,0.096134153,0.079578426,0.114695341,0.335552142,0.107526882,0.083845366,0.261563407,0.063577402,0.12822154,0.103003926,0.130781703,0.460616146,0.420762929,0.145417307,0.209805428,0.252005462,0.069977812,0.045869602,0.073775388,0.093659328,0.066521591,0.041431985,0.19901007,0.111409797,0.086746885,0.037122376,0.294930876,0.128477556,0.069849804,0.2421915,0.082991978,0.071684588,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;
Aspergillaceae,0.040322581,0.031788701,0.229006656,0.020822666,0.174731183,0.03259942,0.032386073,0.081754566,0.06229732,0.026071002,0.011819423,0.103259942,0.103814644,0.087258918,0.098523639,0.053635433,0.047619048,0.06229732,0.090331115,0.0453149,0.043437447,0.022529442,0.022145417,0.027564431,0.040109234,0.026369688,0.010838027,0.071129886,0.084186721,0.065924219,0.059609148,0.069081755,0.054958184,0.034519543,0.035756955,0.021036013,0.041261307,0.018305172,0.012544803,0.110044376,0.067417648,0.067929681,0.012288786,0.096774194,0.069039085,0.459037378,0.04036525,0.042712067,0.149172214,0.047021676,0.051800649,0.099633043,0.025174945,0.025260283,0.017665131,0.064089435,0.182582352,0.04249872,0.017537122,0.064260113,0.058457075,0.146142686,0.026839051,0.112007168,0.075610172,0.103345281,0.098182284,0.051160608,0.042968083,0.021889401,0.05026455,0.050435228,0.079023724,0.038402458,0.031362007,0.066478921,0.039085168,0.350699778,0.044034818,0.082223929,0.139614269,0.031233999,0.047363031,0.048813791,0.05739034,0.019499915,0.015446322,0.097627581,0.129458952,0.08495477,0.028673835,0.089051033,0.10479604,0.12322922,0.02547363,0.032471412,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;
Didymellaceae,0.19619389,0.000170678,0.000170678,0.001194743,0.000640041,0.000981396,0.000597372,0.000256016,0.000512033,8.53E-05,0.000170678,0.000938727,0.000938727,0.000938727,0,0.000512033,0.046338966,0.000426694,0,0.000597372,0.000938727,0.000512033,0.001194743,0.000213347,0.000597372,0.002304147,0.00213347,0.000981396,0.000298686,0.000981396,0.013099505,0.002304147,0.013782215,0.004394948,0.003370882,0.001194743,0.004778973,0.000810719,0.380440348,0.000256016,0.001621437,0.002560164,0.006997781,0.001237413,0.000810719,0.000597372,0.004053593,0.028673835,0.039213176,0.013270183,0.077999659,0.004522956,0.006613757,0.051160608,0.040663936,0.001493429,0.001280082,0.006016385,0.014422256,0.002986858,0.000384025,0.011222052,0.060974569,0.0020908,0.007595153,0.000896057,0.002005462,0.001706776,0.002474825,0.001237413,0.010283325,0.030849974,0.027095067,4.27E-05,0.0098993,0.001322751,0,0.101339819,0.004010923,0.000384025,0.000938727,0.000896057,0.000384025,0.000213347,0.000768049,0.002602833,0.000298686,0.000170678,0.000512033,0.000213347,8.53E-05,0.000554702,0.000298686,0.014464926,0.001280082,0.000469363,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;
Plectosphaerellaceae,0.051544632,0.1437532,0.097798259,0.050520567,0.116103431,0.300477897,0.204983786,0.028460488,0.074586107,0.143113159,0.229689367,0.059950503,0.091483188,0.179936849,0.256272401,0.017793139,0.12677078,0.119730329,0.116956819,0.054062127,0.047277692,0.305768903,0.198839392,0.011179382,0.057774364,0.119943676,0.222264892,0.022742789,0.036012971,0.078255675,0.202124936,0.025004267,0.071940604,0.127538829,0.090075098,0.051757979,0.037719747,0.131123059,0.090117768,0.033196791,0.07718894,0.139016897,0.194444444,0.06306537,0.042712067,0.043992149,0.128136201,0.018603857,0.021633385,0.216589862,0.035543608,0.058499744,0.027692439,0.257339136,0.082351937,0.021846732,0.030167264,0.180363543,0.129672299,0.016342379,0.031404677,0.076250213,0.091739205,0.066990954,0.069337771,0.095280765,0.144563919,0.037037037,0.074927462,0.279569892,0.141705069,0.015147636,0.032343403,0.07014849,0.192054958,0.009429937,0.035586278,0.035330261,0.119175627,0.036909029,0.053336747,0.133811231,0.147764124,0.065284178,0.078767708,0.175883257,0.182283666,0.026455026,0.034092849,0.123485236,0.130184332,0.051288616,0.084400068,0.072153951,0.186550606,0.217997952,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;
Onygenaceae,0.001280082,0.009301929,0.004053593,0.005248336,0.004138932,0.006443079,0.003072197,0.003968254,0.003029527,0.002944188,0.008448541,0.003584229,0.035970302,0.010966035,0.008277863,0.002389486,0.004309609,0.00567503,0.005291005,0.00708312,0.003882915,0.008277863,0.004864311,0.001834784,0.002389486,0.006144393,0.006229732,0.013739546,0.005461683,0.004053593,0.004309609,0.008107186,0.003968254,0.00499232,0.005888377,0.005376344,0.004864311,0.002944188,0.0020908,0.004565626,0.001194743,0.007296467,0.003072197,0.003840246,0.007637822,0.002389486,0.004352279,0.005419013,0.002944188,0.009003243,0.006315071,0.006912442,0.00285885,0.003157535,0.004736303,0.007680492,0.001834784,0.004522956,0.002773511,0.004565626,0.006016385,0.004352279,0.001834784,0.006059054,0.011051374,0.006059054,0.008619218,0.00354156,0.009643284,0.005162997,0.004053593,0.001792115,0.002304147,0.004565626,0.014806281,0.002432156,0.004736303,0.002517494,0.005760369,0.004480287,0.003968254,0.303976788,0.012374125,0.010667349,0.004650964,0.00563236,0.005419013,0.005077658,0.004778973,0.003498891,0.002901519,0.004181601,0.006144393,0.004181601,0.001066735,0.006613757,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;
Nectriaceae,0.183521079,0.11546339,0.130525687,0.126429425,0.100870456,0.144009217,0.15083632,0.146313364,0.206519884,0.088026967,0.108038914,0.181216931,0.162997098,0.10697218,0.123314559,0.167562724,0.136883427,0.125704045,0.125192012,0.136968766,0.078853047,0.119474313,0.094854071,0.108038914,0.147038744,0.091653866,0.125106673,0.139144905,0.143497184,0.109447005,0.104625363,0.164746544,0.157322069,0.186166581,0.147593446,0.142003755,0.143283837,0.078767708,0.060419867,0.190006827,0.125021335,0.162229049,0.118535586,0.163125107,0.189921488,0.135816692,0.176779314,0.190177505,0.147252091,0.176053934,0.195383171,0.168928145,0.164405189,0.147508107,0.2697986,0.251578768,0.205623827,0.15864482,0.139827616,0.13812084,0.219790067,0.184289128,0.238991295,0.201356887,0.210104113,0.158943506,0.162527735,0.144051886,0.175840587,0.118492917,0.116231439,0.137992832,0.181686295,0.075140809,0.157876771,0.136798088,0.167562724,0.12250384,0.193676395,0.185483871,0.243684929,0.10479604,0.163039768,0.16995221,0.202167605,0.091824543,0.111409797,0.221411504,0.204727769,0.103131934,0.084058713,0.195041816,0.21812596,0.171488309,0.16504523,0.169525516,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;
Cladosporiaceae,0.021078682,0.007339136,0.00140809,0.002901519,0.001493429,0.002346817,0.002346817,0.011990101,0.00917392,0.042882744,0.020182625,0.01062468,0.069977812,0.007552483,0.016641065,0.009856631,0.036183649,0.005120328,0.002474825,0.006571087,0.002005462,0.002304147,0.033068783,0.001365421,0.049197815,0.022316095,0.010966035,0.050563236,0.039725209,0.034860898,0.033026114,0.015915685,0.035799625,0.013398191,0.029655231,0.022401434,0.202380952,0.013526199,0.086746885,0.000853388,0.049709848,0.011520737,0.030849974,0.015958355,0.005120328,0.003797576,0.063876088,0.024449565,0.068484383,0.027223076,0.086746885,0.124466633,0.20327701,0.078725038,0.072196621,0.021036013,0.08218126,0.038146441,0.087685612,0.080389145,0.033708824,0.165813279,0.269073221,0.011478068,0.010368664,0.003242874,0.009984639,0.007936508,0.129885646,0.003285544,0.008448541,0.128520225,0.024705581,0.001365421,0.00853388,0.010069978,0.001536098,0.022316095,0.03609831,0.009728623,0.002176139,0.00072538,0.001280082,0.000981396,0.003114866,0.002176139,0.001280082,4.27E-05,0.008107186,0.0020908,0.002560164,0.00213347,0.00068271,0.001109404,0.019542584,0.004181601,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;
Helotiaceae,0.042029357,0.00849121,0.040450589,0.035970302,0.009131251,0.00635774,0.007040451,0.046082949,0.017366445,0.017238437,0.003882915,0.010923366,0.005034989,0.007595153,0.042541389,0.016726404,0.021590715,0.002602833,0.004138932,0.00917392,0.002730841,0.005120328,0.003712238,0.001066735,0.00635774,0.001792115,0.004821642,0.006059054,0.002261478,0.001194743,0.002304147,0.00567503,0.005589691,0.002645503,0.005248336,0.002005462,0.004522956,0.001834784,0.000938727,0.001920123,0.008021847,0.003200205,0.011691415,0.007595153,0.002773511,0.001194743,0.001877453,0.002688172,0.001706776,0.00708312,0.003925585,0.005333675,0.002730841,0.001493429,0.001877453,0.004821642,0.006101724,0.003200205,0.005589691,0.003328213,0.002176139,0.001109404,0,0.002688172,0.004864311,0.006443079,0.00285885,0.003797576,0.004565626,0.004608295,0.002261478,0.080815839,0.008747226,0.001194743,0.003242874,0.003882915,0.001920123,0.001792115,0.002432156,0.001706776,0.022486772,0.004394948,0.027009729,0.010582011,0.052995392,0.219406042,0.021804062,0.017451784,0.009600614,0.030892644,0.00213347,0.004778973,0.008021847,0.001536098,0.00640041,0.027905786,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;
Hygrophoraceae,0,0,0,0,0,0,0,0,0.012160778,0,0,0,0,0,0,0,0.000853388,0,0,0,0,0,0,8.53E-05,0.21812596,0,0,0.033111452,0,0,0,0,0.000640041,0,0,0,0,0,0,0,0.027564431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554702,0.027308414,0,0,0.000554702,0,0,0,0,0,0,0,0,0,0,0,0,0.002474825,0,0,0,0,0,0,0,0.00072538,0,0,0,0,0,0,0,0.012246117,0,0,0,0,0,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;
Clavicipitaceae,0.009429937,0.014038232,0.031447346,0.024577573,0.013398191,0.040621266,0.017409114,0.044888206,0.074970131,0.01698242,0.022316095,0.017537122,0.01702509,0.035287592,0.029271207,0.033452808,0.023937532,0.012544803,0.036354327,0.03042328,0.006955112,0.021505376,0.022700119,0.190006827,0.009856631,0.018518519,0.027692439,0.023681516,0.015104967,0.020694658,0.029655231,0.045912272,0.012416795,0.027393753,0.058841099,0.026071002,0.009131251,0.015403653,0.010795358,0.057262331,0.010197986,0.032471412,0.02193207,0.027521761,0.014208909,0.013611538,0.022742789,0.046680321,0.029100529,0.021804062,0.020353303,0.026241679,0.004437617,0.016939751,0.012587472,0.056323605,0.010582011,0.020950674,0.039298515,0.082010582,0.006955112,0.034306196,0.012459464,0.027948455,0.063833419,0.030337942,0.027564431,0.026327018,0.009131251,0.038061103,0.022614781,0.034519543,0.012459464,0.020139956,0.029996586,0.011222052,0.00849121,0.00994197,0.027095067,0.058286397,0.011435399,0.043736132,0.025729647,0.036994368,0.012502133,0.027521761,0.092549923,0.04318143,0.017537122,0.046338966,0.02688172,0.033580816,0.013696877,0.035756955,0.040535928,0.039938556,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;
