"plot","species","abundance_relative"
"plot 6","coar",0.0369571912534647
"plot 6","dagl",0.0123190637511549
"plot 6","fear",0.207114259316292
"plot 6","gedi",0.033877425315676
"plot 6","mear",0.0831536803202957
"plot 6","pore",0.236987988912843
"plot 6","rapa",0.0230982445334155
"plot 6","shar",0.0631352017246689
"plot 6","tono",0.00307976593778873
"plot 6","trdu",0.00153988296889436
"plot 6","vepe",0.00615953187557746
"plot 6","visa",0.0230982445334155
"plot 6","pore",0.236987988912843
"plot 6","fear",0.207114259316292
"plot 6","melu",0.00769941484447182
"plot 6","mear",0.0831536803202957
"plot 6","elre",0.183246073298429
"plot 6","ni_p6_1",0.0384970742223591
"plot 6","coar",0.0369571912534647
"plot 6","veof",0.00923929781336618
"plot 6","ni_p6_2",0.0123190637511549
"plot 6","gedi",0.033877425315676
"plot 6","trre",0.00461964890668309
"plot 6","to",0.00230982445334155
"plot 6","pore",0.236987988912843
"plot 6","fear",0.207114259316292
"plot 6","melu",0.00769941484447182
"plot 6","mear",0.0831536803202957
"plot 6","elre",0.183246073298429
"plot 6","ni_p6_1",0.0384970742223591
"plot 6","shar",0.0631352017246689
"plot 6","visa",0.0230982445334155
"plot 6","ni_p6_2",0.0123190637511549
"plot 6","gedi",0.033877425315676
"plot 6","trre",0.00461964890668309
"plot 6","asteraceae",0.00153988296889436
"plot 6","vepe",0.00615953187557746
"plot 6","plla",0.00153988296889436
"plot 6","bepe",0.00538959039113027
"plot 6","ni_p6_4",0.00153988296889436
"plot 6","to",0.00230982445334155
"plot 6","elre",0.183246073298429
"plot 6","fear",0.207114259316292
"plot 6","pore",0.236987988912843
"plot 6","mear",0.0831536803202957
"plot 6","pore",0.236987988912843
"plot 6","fear",0.207114259316292
"plot 6","elre",0.183246073298429
"plot 6","coar",0.0369571912534647
"plot 6","pore",0.236987988912843
"plot 6","elre",0.183246073298429
"plot 6","coar",0.0369571912534647
"plot 6","fear",0.207114259316292
"plot 6","pore",0.236987988912843
"plot 6","elre",0.183246073298429
"plot 6","shar",0.0631352017246689
"plot 6","cyec",0.00153988296889436
"plot 6","mear",0.0831536803202957
"plot 6","ni_p6_1",0.0384970742223591
"plot 6","elre",0.183246073298429
"plot 6","shar",0.0631352017246689
"plot 6","coar",0.0369571912534647
"plot 6","veof",0.00923929781336618
"plot 6","ni_p6_1",0.0384970742223591
"plot 6","pore",0.236987988912843
"plot 6","fear",0.207114259316292
"plot 6","shar",0.0631352017246689
"plot 6","mear",0.0831536803202957
"plot 6","veof",0.00923929781336618
"plot 6","ni_p6_1",0.0384970742223591
"plot 6","elre",0.183246073298429
"plot 6","mear",0.0831536803202957
"plot 6","ni_p6_2",0.0123190637511549
"plot 6","bepe",0.00538959039113027
"plot 6","gedi",0.033877425315676
"plot 6","pore",0.236987988912843
"plot 6","mear",0.0831536803202957
"plot 6","coar",0.0369571912534647
"plot 6","shar",0.0631352017246689
"plot 6","bepe",0.00538959039113027
