"sampling","plot","treatment","species","abundance"
"sampling 0","plot 1","w","apar",0.01
"sampling 0","plot 1","w","apar",0.01
"sampling 0","plot 1","w","apar",0.01
"sampling 0","plot 1","w","bepe",0.02
"sampling 0","plot 1","w","bepe",0.02
"sampling 0","plot 1","w","brho",0.1
"sampling 0","plot 1","w","brho",0.1
"sampling 0","plot 1","w","brho",0.1
"sampling 0","plot 1","w","brho",0.1
"sampling 0","plot 1","w","brho",0.1
"sampling 0","plot 1","w","brst",0.15
"sampling 0","plot 1","w","brst",0.15
"sampling 0","plot 1","w","brst",0.15
"sampling 0","plot 1","w","brst",0.15
"sampling 0","plot 1","w","brst",0.15
"sampling 0","plot 1","w","brst",0.15
"sampling 0","plot 1","w","brst",0.15
"sampling 0","plot 1","w","brst",0.15
"sampling 0","plot 1","w","cegl",0.01
"sampling 0","plot 1","w","fear",0.08
"sampling 0","plot 1","w","fear",0.08
"sampling 0","plot 1","w","fear",0.08
"sampling 0","plot 1","w","fear",0.08
"sampling 0","plot 1","w","gedi",0.05
"sampling 0","plot 1","w","gedi",0.05
"sampling 0","plot 1","w","hyra",0.04
"sampling 0","plot 1","w","hyra",0.04
"sampling 0","plot 1","w","mear",0.01
"sampling 0","plot 1","w","plla",0.1
"sampling 0","plot 1","w","plla",0.1
"sampling 0","plot 1","w","plla",0.1
"sampling 0","plot 1","w","plla",0.1
"sampling 0","plot 1","w","poan",0.05
"sampling 0","plot 1","w","poan",0.05
"sampling 0","plot 1","w","poan",0.05
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","rapa",0.25
"sampling 0","plot 1","w","shar",0.15
