species,leaf_N,root_N,root_density,seed_mass,leaf_area1,leaf_area2,leaf_mass,plant_height,leaf_area3,leaf_area4,leaf_area5,plan_height2,leaf_area6,leaf_area7,leaf_area8,stem_density,leaf_area9,leaf_area10,root_length,leaf_area11
Lotus corniculatus,38.27236932,25.33318243,0.175862403,1.32138478,22.76163031,689.6428571,0.226651344,0.270390518,25.41501348,NA,609.125,0.19721907,25.05376403,173.5723719,201.5820021,0.274835044,NA,117.7788889,8907.676219,27.24545077
Medicago arabica,NA,NA,NA,2.06611,32.365,NA,0.203815,0.288823529,33.91333333,671.045,648.2625,0.226111111,NA,NA,316,NA,NA,1125,NA,NA
Medicago lupulina,39.28588068,32.29168453,0.152191247,1.617662401,31.58451095,883.25,0.241650273,0.274177257,29.20606432,535.0875,930.7714286,0.3498,27.56066889,261.4717044,401.7129343,NA,327.7822944,304.3891667,24590.16236,48.31993498
Medicago polymorpha,39.02727273,NA,NA,3.319962707,27.7790954,362,0.220394099,0.246085714,26.10562905,390.5,656.5,0.3625,31.32857825,236.9870341,393.2595833,NA,103,1272.5,NA,NA
Mercurialis annua,41.5548,NA,NA,2.143991667,49.02,NA,0.174557072,0.297666667,46.95838275,755.885,744.39,0.307142857,45.066,1340.439138,316,NA,NA,285.94,NA,NA
Ophrys apifera,NA,NA,NA,0.0011144,19.66666667,NA,0.139,0.291875,NA,NA,612.5,0.275,22.15,NA,316,NA,NA,NA,NA,NA
Plantago lanceolata,19.68388038,9.549848079,0.142210877,1.423946165,19.66373962,923.2891231,0.184760944,0.229837667,18.11048621,NA,2567,0.342207407,18.24273823,978.7055959,2656.489152,0.085544277,1231.466667,1537.011176,20389.6719,26.8395093
Poa annua,39.16126476,NA,NA,0.263994612,40.33343673,129.1666667,0.213832206,0.159392451,41.63580441,74.26922,138.3333333,0.181590909,31.84325689,136.8590909,474.2323077,0.158510638,218.6278212,NA,49350.09944,37.9619478
Poa bulbosa,17.6721411,10.49,NA,1.199059957,43.20570708,155.17,0.287338846,0.220069872,20.3781139,18.5,NA,0.3,31.43461324,NA,32,NA,NA,113,NA,NA
Potentilla reptans,23.56415879,NA,NA,0.2887875,24.5845055,1874.887694,0.259414084,0.313306723,24.41090526,NA,2176.5,0.1189,22.45472178,2436.5004,1278.4175,0.090086207,NA,NA,NA,NA
Ranunculus bulbosus,24.37243872,10.93100807,0.215093251,3.155315111,20.15170539,1081.333333,0.176528545,0.152053333,19.46963081,NA,1081.333333,0.263333333,23.33072169,1495.607117,1515.013344,NA,NA,NA,13209.77278,NA
Ranunculus parviflorus,NA,NA,NA,1.10535,NA,NA,NA,0.258333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rumex crispus,25.15135754,3.807,0.330035336,1.813151935,33.83001918,3977.589231,0.155393397,0.820438597,18.68958833,NA,6290,0.9964,20.95166527,4026.606719,4253.670161,NA,NA,NA,13641.53712,NA
Sherardia arvensis,NA,NA,NA,1.867590476,22.46666667,NA,0.180566667,0.180555556,NA,NA,NA,0.125,22.66665527,NA,32,NA,NA,NA,NA,NA
Stellaria media,37.73444774,NA,0.207317073,0.331576098,54.91853784,233.3791276,0.130766351,0.305235381,53.5006536,275.5579489,488,0.22269697,57.43069104,149.0455431,317.4388889,0.056018274,181.4477314,315.2561538,12386.28986,29.29175061
Torilis arvensis,20.12,NA,NA,1.989928,29.58579882,NA,0.308083571,0.596428571,28.035,1009.8225,NA,0.6,17.3071499,NA,NA,NA,NA,230.901,NA,NA
Torilis nodosa,NA,NA,NA,2.359933333,NA,NA,0.3962525,0.306818182,14.6475,111.45,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA
Trifolium dubium,34.85688635,27.56771735,0.109,0.430090152,28.265,NA,0.235814841,0.202866685,31.23220837,NA,135.5,0.2,32.99562656,182.3346154,361.5614286,NA,NA,104.833,26804.97057,NA
Trifolium fragiferum,34.65221194,28.30978357,0.109,1.218720689,27.69758958,622,0.235832131,0.189347863,25.94514,NA,192,0.135,19.53562359,NA,533.1112963,NA,NA,144.767,12351.27831,NA
Trifolium repens,39.81676132,26.57699222,0.166509009,0.66229062,30.69184954,908.5821212,0.236306574,0.175537103,29.22306175,NA,426.646,0.162681914,25.03987722,706.1727046,475.1945204,NA,191.9095033,735.8207692,15395.20726,NA
Valerianella locusta,25.58884667,NA,NA,1.3366,31.7,NA,0.119879381,0.1953125,34.1582394,NA,152,0.1,50.14,172.1078523,269.5,NA,NA,251.4665,NA,NA
Verbena officinalis,NA,NA,NA,0.320239,NA,NA,0.235918,0.459583333,14.588,414.088,NA,0.500769231,14.925,NA,316,NA,443,443,NA,NA
Veronica arvensis,22.94835778,NA,NA,0.113339286,28.75694444,NA,0.132978152,0.25170505,65.80109335,NA,151.6666667,0.137916667,35.79019196,83.27082208,35.67,NA,NA,38.085,NA,NA
Veronica persica,17.29074091,NA,NA,0.568933333,36.06419277,495.3333333,0.171957627,0.228622727,26.43217037,NA,495.3333333,0.225333333,33.0099511,50.4573848,316,NA,NA,NA,NA,NA
Vicia sativa,54.71597209,NA,NA,31.76419154,23.02818182,NA,0.210595429,0.348120225,20.7681536,NA,1286,0.547416667,21.95174605,224.7606557,1891.201589,NA,NA,125,NA,NA
