sampling,date,plot,treatment,species_old,species,abundance,height,Cb,Db,Cm,Dm,category
1,23_may_16,3,p,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23_may_16,15,p,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23_may_16,6,p,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23_may_16,10,p,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23_may_16,4,wp,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23_may_16,5,wp,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23_may_16,12,wp,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,23_may_16,13,wp,NA,NA,NA,NA,NA,NA,NA,NA,NA
