"","PC1","PC2","treatment","sampling"
"1",-0.681894879567443,0.00645977957978872,"c","0"
"2",-0.708256770249325,0.130732526911345,"p","0"
"3",-0.814168005369167,-0.0195365177529806,"w","0"
"4",-0.709075407439153,-0.0469836553091911,"wp","0"
"5",-0.503359687609275,-0.0598280026795602,"c","1"
"6",-0.584497898407204,-0.0950096507256376,"w","1"
"7",0.149128020896536,-0.197854957301286,"c","10"
"8",0.083655463405833,0.52106119208243,"p","10"
"9",0.179293439606891,-0.228905821588016,"w","10"
"10",0.172849094047379,0.0458051322398822,"wp","10"
"11",-0.0316251067691561,-0.219149800151243,"c","11"
"12",-0.0956256293131868,0.392695357848144,"p","11"
"13",-0.0255594075355862,-0.207189924125061,"w","11"
"14",-0.0347091433638609,0.0539034976642031,"wp","11"
"15",-0.569770959141755,-0.0245054308406003,"c","2"
"16",0.23427642797995,0.0196606266243539,"p","2"
"17",-0.534291546808883,-0.0947591190089229,"w","2"
"18",0.231735348000279,-0.33714835055114,"wp","2"
"19",-0.09288816150227,-0.17711010165483,"c","3"
"20",0.085715993323043,0.318569602332097,"p","3"
"21",-0.164557120589781,-0.19754231659545,"w","3"
"22",0.101689263500072,-0.120384630754207,"wp","3"
"23",0.0672556758752134,-0.122789817705,"c","4"
"24",0.11975287164182,0.433813255825463,"p","4"
"25",0.111972180738152,-0.251892540822107,"w","4"
"26",0.210415969772299,-0.154511201708995,"wp","4"
"27",0.146710250859058,-0.196971937446955,"c","5"
"28",0.15760749157472,0.475728234625896,"p","5"
"29",0.213813992687103,-0.261658139664828,"w","5"
"30",0.258739433626045,-0.0936826573985408,"wp","5"
"31",0.27686212247247,-0.120543397982193,"c","6"
"32",0.162452912811464,0.570417013359981,"p","6"
"33",0.199741996080067,-0.219353549569782,"w","6"
"34",0.237526252509965,-0.0713631902711621,"wp","6"
"35",0.26158331917182,-0.153430091598379,"c","7"
"36",0.161421752285846,0.550242487692362,"p","7"
"37",0.187792693401931,-0.136129199668653,"w","7"
"38",0.251731863866738,-0.0737437523919206,"wp","7"
"39",0.173137286415223,-0.153777709475156,"c","8"
"40",0.115299638707362,0.520455040839126,"p","8"
"41",0.165215234977416,-0.169288441061177,"w","8"
"42",0.275191320261263,-0.0299943554284395,"wp","8"
"43",0.14075459297459,-0.187251805249477,"c","9"
"44",0.0809612503636805,0.487139291790958,"p","9"
"45",0.104381683511194,-0.119878752984456,"w","9"
"46",0.231614886320621,0.0154857800493176,"wp","9"
