"","plot","sampling","Y_zipf","mu_log","sigma_log","treatment"
"1","1","9",-1.44740287972435,1.85380885235492,1.32002006215884,"w"
"2","1","11",-1.19374060614325,1.81697289558008,1.1282335116332,"w"
"3","1","2",-0.924680087411494,1.14514442232667,0.93147346161322,"w"
"4","1","7",-2.61316431472294,2.06299619870662,1.85750021165297,"w"
"5","1","6",-0.874265262372002,2.90674171985978,0.600906371939577,"w"
"6","1","3",-1.46843623398683,0.984715335101195,1.49620723080409,"w"
"7","1","8",-1.55154695847596,2.5530663204071,1.23667956242036,"w"
"8","1","4",-1.7494618611623,1.18769324602958,1.65222889106632,"w"
"9","1","0",-0.836469550506167,1.71476306022007,0.873196077928889,"w"
"10","1","5",-1.57020278705355,2.11602370526724,1.30534672001187,"w"
"11","1","10",-1.97402677040596,1.19357449206261,1.86446497424202,"w"
"12","10","7",-1.28633376495134,1.31257739262361,1.25356714910683,"p"
"13","10","2",-0.710528563170675,0.23908243005742,0.441851628835465,"p"
"14","10","4",-1.07541392221091,1.47552911236307,0.989799314397124,"p"
"15","10","9",-0.833104387812908,1.55416843888048,0.790864360598461,"p"
"16","10","5",-1.16165965261348,1.40341768352908,1.12475513534849,"p"
"17","10","10",-0.901963742708776,1.3778543349835,0.912581514003649,"p"
"18","10","0",-1.24701789693885,1.69443317981216,1.23959949350048,"p"
"19","10","6",-1.20596673161381,1.722620010543,1.20175437694127,"p"
"20","10","11",-0.878289983667097,1.08054968218638,0.939976648656099,"p"
"21","10","8",-1.10814496443483,1.5402062890829,1.09724044414612,"p"
"22","10","3",-1.15717717027382,1.21503311355694,1.07093530113044,"p"
"23","11","7",-1.60569504315138,2.04663377610253,1.36817450556823,"c"
"24","11","2",-1.14450232115644,1.27018220929141,1.18394127339478,"c"
"25","11","4",-1.42367805102003,2.20607617054795,1.23764991747734,"c"
"26","11","9",-2.13871923664796,1.26119724404931,2.06793269797682,"c"
"27","11","5",-1.94174401964757,2.34868633471773,1.59845684646778,"c"
"28","11","10",-2.41714739479411,0.794021491598556,2.41757617522971,"c"
"29","11","0",-1.30348411490595,1.46612078636636,1.29464965683278,"c"
"30","11","6",-2.15077886723376,1.90742012071758,1.64074663875231,"c"
"31","11","11",-2.06302840038157,0.723957333681754,2.03792917844887,"c"
