plot,treatment,sensor_code
1,w,94249144
2,c,94238921
3,p,94238924
4,wp,94238922
5,wp,94249150
6,p,94249152
7,c,94249151
8,w,94249145
9,w,94249153
10,p,94249149
11,c,94249147
12,wp,94249148
13,wp,94249143
14,c,94249146
15,p,94249142
16,w,94249141
