date,sampling,biomass _sampling,micro_sampling,label_micro
20230504,0,NO,YES,A
20230516,1,NO,NO,NA
20230614,2,NO,YES,B
20230628,3,YES,NO,NA
20230711,4,YES,YES,C
20230726,5,YES,NO,NA
20230822,6,YES,NO,NA
20230904,7,YES,YES,D
20230918,8,YES,NO,NA
20231004,9,YES,NO,NA
20231016,10,YES,NO,NA
20231113,11,YES,YES,E
20240312,12,NO,NO,NA
20240403,13,YES,YES,F
20240416,14,YES,NO,NA
20240507,15,YES,NO,NA
20240528,16,YES,YES,G
20240621,17,YES,NO,NA
20240715,18,YES,NO,NA
20240819,19,YES,NO,NA
