sampling,plot,code_old,code,abundance,nind_m2,OBS
17,3,poaceae,poaceae,20,20,
17,3,pore,pore,1,1,
17,3,shar,shar,1,1,
17,3,veof,veof,1,1,
17,4,cegl,cegl,1,1,
17,4,hysp,asteraceae,8,8,
17,4,rapa,rapa,15,15,
17,5,visa,visa,2,2,
17,7,bepe,bepe,1,1,
17,7,gedi,gedi,1,1,
17,7,gemo,gemo,1,1,
17,7,mear,mear,1,1,
17,7,rabu,rabu,1,1,
17,8,bepe,bepe,1,1,
17,8,mydi,mydi,1,1,
17,9,bepe,bepe,1,1,
17,9,trre,trre,1,1,
17,10,gedi,gedi,10,10,
17,10,gemo,gemo,2,2,
17,11,mydi,mydi,1,1,
17,11,pore,pore,1,1,
17,11,trre,trre,1,1,
17,11,valo,valo,1,1,
17,12,coar,coar,2,2,
17,12,lyar,lyar,1,1,
17,13,lyar,lyar,1,1,
17,13,trfr,trfr,2,2,
17,14,apar,apar,1,1,
17,14,bepe,bepe,1,1,
17,14,plla,plla,1,1,
17,14,rabu,rabu,2,2,
17,14,rapa,rapa,1,1,
17,15,mear,mear,2,2,
17,15,mydi,mydi,1,1,
17,15,rapa,rapa,1,1,
17,15,trre,trre,1,1,
17,16,visa,visa,3,3,
16,8,poaceae,poaceae,50,48,
13,16,poaceae,poaceae,85,80,
13,3,gedi,gedi,15,14,
14,9,poaceae,poaceae,65,60,
13,4,rapa,rapa,50,45,
14,10,mear,mear,10,9,
15,5,plla,plla,10,9,
13,8,gedi,gedi,8,7,
16,9,tosp,tosp,8,7,
15,10,gedi,gedi,15,13,
13,8,poaceae,poaceae,70,60,
14,16,poaceae,poaceae,70,60,
15,15,plla,plla,7,6,
17,5,coar,coar,20,17,
15,6,gedi,gedi,13,11,
13,5,rapa,rapa,25,21,
13,2,poaceae,poaceae,60,50,
15,1,poaceae,poaceae,30,25,
17,2,hysp,asteraceae,6,5,
14,8,rapa,rapa,11,9,
13,5,plla,plla,10,8,
13,7,tosp,tosp,5,4,
13,12,valo,valo,5,4,
14,4,plla,plla,10,8,
14,6,gedi,gedi,10,8,
15,4,rapa,rapa,25,20,
15,6,mear,mear,15,12,
15,7,poaceae,poaceae,75,60,
15,10,lyar,lyar,5,4,
15,11,gedi,gedi,5,4,
16,5,plla,plla,15,12,
16,8,gedi,gedi,10,8,
16,12,tosp,tosp,5,4,
17,1,tosp,tosp,25,20,
17,9,tosp,tosp,10,8,
