sampling,plot,code_old,code,abundance,nind_m2,OBS
15,14,tosp,tosp,8,20,
16,2,cegl,cegl,2,5,
16,4,rapa,rapa,20,50,
16,15,coar,coar,4,10,
16,16,coar,coar,6,15,
15,15,mydi,mydi,7,17,
13,4,tosp,tosp,5,12,
13,6,shar,shar,5,12,
13,14,tosp,tosp,5,12,
13,15,apar,apar,5,12,
13,1,cegl,cegl,3,7,
13,3,cegl,cegl,3,7,
13,3,poaceae,poaceae,6,14,
13,10,pore,pore,3,7,
14,7,visa,visa,3,7,
14,15,visa,visa,3,7,
15,5,coar,coar,6,14,
15,5,tosp,tosp,3,7,
15,15,visa,visa,3,7,
16,1,tosp,tosp,6,14,
17,16,tosp,tosp,3,7,
13,10,rapa,rapa,7,16,
14,3,tosp,tosp,7,16,
13,6,gedi,gedi,4,9,
14,15,valo,valo,4,9,
16,3,tosp,tosp,4,9,
16,14,libi,libi,4,9,
