"","code","unique_abundance","sampling","plot"
"1","fear",2,"2","1"
"2","to",2,"2","2"
"3","mear",2,"1","7"
"4","fear",2,"1","1"
"5","to",2,"1","2"
"6","to",2,"3","7"
"7","to",2,"3","8"
"8","to",2,"3","14"
"9","mear",2,"0","3"
"10","trdu",2,"0","1"
"11","mear",2,"0","2"
"12","to",2,"0","2"
"13","brst",2,"0","14"
"14","mear",2,"0","5"
"15","elre",2,"0","12"
"16","gedi",2,"9","4"
"17","veof",2,"9","10"
"18","trfr",2,"11","11"
