"plot","species","abundance","abundance_relative","abundance_relative_rounded"
"plot 2","brho",0.25,0.109567705597914,0
"plot 2","brst",0.35,0.327797598565659,0
"plot 2","gedi",0.03,0.00615752395095713,0
"plot 2","gemo",0.02,0.000724414582465545,0
"plot 2","mear",0.01,0.000181103645616386,0
"plot 2","mepo",0.04,0.007968560407121,0
"plot 2","plla",0.03,0.0222757484108155,0
"plot 2","poan",0.02,0.00039842802035605,0
"plot 2","rabu",0.01,0.000905518228081931,0
"plot 2","rapa",0.06,0.0101418041545176,0
"plot 2","shar",0.05,0.0191969864353369,0
"plot 2","tono",0.02,0.0644728978394335,0
"plot 2","tono",0.01,0.0644728978394335,0
"plot 2","trdu",0.02,0.00181103645616386,0
"plot 2","trfr",0.03,0.0141260843580781,0
"plot 2","trre",0.01,0.00452759114040966,0
"plot 2","visa",0.04,0.00543310936849159,0
"plot 2","apar",0.005,0.000181103645616386,0
"plot 2","brho",0.2,0.109567705597914,0
"plot 2","brst",0.3,0.327797598565659,0
"plot 2","cegl",0.03,0.00162993281054748,0
"plot 2","gafr",0.005,0.000181103645616386,0
"plot 2","gedi",0.01,0.00615752395095713,0
"plot 2","gemo",0.005,0.000724414582465545,0
"plot 2","mepo",0.08,0.007968560407121,0
"plot 2","plla",0.01,0.0222757484108155,0
"plot 2","poan",0.002,0.00039842802035605,0
"plot 2","rabu",0.03,0.000905518228081931,0
"plot 2","tono",0.05,0.0644728978394335,0
"plot 2","trre",0.05,0.00452759114040966,0
"plot 2","visa",0.02,0.00543310936849159,0
"plot 2","dagl",0.35,0.191607657062137,0
"plot 2","ni_p2_1",0.6,0.197221870076245,0
"plot 2","shar",0.04,0.0191969864353369,0
"plot 2","to",0.005,0.00153938098773928,0
"plot 2","dagl",0.15,0.191607657062137,0
"plot 2","ni_p2_1",0.75,0.197221870076245,0
"plot 2","to",0.03,0.00153938098773928,0
"plot 2","libi",0.01,0.000543310936849159,0
"plot 2","gedi",0.02,0.00615752395095713,0
"plot 2","ni_p2_3",0.03,0.00108662187369832,0
"plot 2","asteraceae",0.01,0.000543310936849159,0
"plot 2","rapa",0.02,0.0101418041545176,0
"plot 2","brho",0.15,0.109567705597914,0
"plot 2","cyec",0.02,0.00217324374739664,0
"plot 2","homu",0.02,0.000724414582465545,0
"plot 2","me",0.02,0.00144882916493109,0
"plot 2","plla",0.04,0.0222757484108155,0
"plot 2","rapa",0.04,0.0101418041545176,0
"plot 2","shar",0.02,0.0191969864353369,0
"plot 2","tono",0.2,0.0644728978394335,0
"plot 2","trre",0.03,0.00452759114040966,0
"plot 2","bepe",0.04,0.000905518228081931,0
"plot 2","hyra",0.03,0.00162993281054748,0
"plot 2","plla",0.05,0.0222757484108155,0
"plot 2","libi",0.02,0.000543310936849159,0
"plot 2","toar",0.04,0.00289765832986218,0
"plot 2","gemo",0.01,0.000724414582465545,0
"plot 2","trfr",0.01,0.0141260843580781,0
"plot 2","dagl",0.2,0.191607657062137,0
"plot 2","asteraceae",0.02,0.000543310936849159,0
"plot 2","cegl",0.01,0.00162993281054748,0
"plot 2","dagl",0.3,0.191607657062137,0
"plot 2","plla",0.1,0.0222757484108155,0
"plot 2","hyra",0.02,0.00162993281054748,0
"plot 2","trfr",0.07,0.0141260843580781,0
"plot 2","trre",0.02,0.00452759114040966,0
"plot 2","bepe",0.01,0.000905518228081931,0
"plot 2","dagl",0.16,0.191607657062137,0
"plot 2","dagl",0.25,0.191607657062137,0
"plot 2","ni_p2_1",0.01,0.197221870076245,0
"plot 2","plla",0.02,0.0222757484108155,0
"plot 2","ni_p2_1",0.23,0.197221870076245,0
"plot 2","shar",0.01,0.0191969864353369,0
"plot 2","to",0.01,0.00153938098773928,0
"plot 2","ni_p2_1",0.55,0.197221870076245,0
